ABORT_PENALTY,CC_ALG,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,wait_portion,abort_ratio,txn_cnt,CLV_RETIRED_ON,total_cnt
1,CLV,false,100000,8,true,16,TPCC,11043,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,29.885248,776663.051614,0.091225,7.835923,1.486209,18.320763,0.048314,0.000000,0.062400,0.00208798668828179,0.006901875,1450673,0,1.461716e6
1,CLV,false,100000,8,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,7.513743,784550.701570,0.000000,0.406447,0.745396,3.652109,0.019580,0.000000,0.000422,5.61637522071223e-5,0,736864,0,7.36864e5
1,CLV,false,100000,8,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.584488,335698.111489,0.000000,0.213440,0.580076,2.438802,0.011219,0.000000,0.000106,2.3121447803986e-5,0,384751,0,3.84751e5
1,CLV,false,100000,8,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.850448,197678.642271,0.000000,0.094900,0.222829,0.941118,0.005172,0.000000,0.000007,3.78286771635842e-6,0,182897,0,1.82897e5
1,CLV,false,100000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.938381,106566.472585,0.000000,0.035471,0.135254,0.318027,0.007569,0.000000,0.000000,0,0,100000,0,1e5
1,CLV,false,100000,4,true,16,TPCC,34470,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000027,41.317822,602774.072964,0.381959,16.214430,1.211218,28.150715,0.052365,0.000000,0.250393,0.0060601693864696,0.02154375,1556582,0,1.591052e6
1,CLV,false,100000,4,true,8,TPCC,5438,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,12.666825,467648.032006,0.036534,3.199527,0.538524,7.700797,0.023454,0.000000,0.035105,0.00277141272576198,0.0067975,740452,0,7.4589e5
1,CLV,false,100000,4,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,3.765207,405828.433023,0.000000,0.212137,0.365436,1.866524,0.010561,0.000000,0.000210,5.57738259808823e-5,0,382007,0,3.82007e5
1,CLV,false,100000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.834638,209877.893548,0.000000,0.099043,0.214045,0.965977,0.005415,0.000000,0.000011,5.99573321821526e-6,0,192525,0,1.92525e5
1,CLV,false,100000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.783148,127689.857721,0.000000,0.036168,0.112150,0.267614,0.002658,0.000000,0.000000,0,0,100000,0,1e5
1,CLV,false,100000,2,true,16,TPCC,82656,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,48.436912,520260.742086,1.399167,23.190434,0.928003,35.218945,0.053927,0.000000,1.036217,0.0213931267955315,0.05166,1574989,0,1.657645e6
1,CLV,false,100000,2,true,8,TPCC,14018,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000023,18.465930,340446.212595,0.148690,7.177468,0.482949,12.827132,0.025355,0.000000,0.119257,0.0064582179180794,0.0175225,785832,0,7.9985e5
1,CLV,false,100000,2,true,4,TPCC,2392,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,6.753763,234752.686810,0.019088,1.803996,0.268433,4.262836,0.011778,0.000000,0.012038,0.00178241374475237,0.00598,396366,0,3.98758e5
1,CLV,false,100000,2,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.846436,208144.783147,0.000000,0.097333,0.191976,0.975995,0.005266,0.000000,0.000040,2.1663355783791e-5,0,192163,0,1.92163e5
1,CLV,false,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.700529,142749.281500,0.000000,0.035410,0.070461,0.250660,0.002668,0.000000,0.000000,0,0,100000,0,1e5
1,CLV,false,100000,1,true,16,TPCC,185802,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000072,114.965548,221581.233472,7.557957,56.876871,0.889581,73.783472,0.057144,0.000000,18.826797,0.163760338010132,0.11612625,1592138,0,1.77794e6
1,CLV,false,100000,1,true,8,TPCC,42220,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,24.633232,259019.202126,0.752519,11.624634,0.403536,17.668645,0.026325,0.000000,0.622145,0.0252563285240037,0.052775,797560,0,8.3978e5
1,CLV,false,100000,1,true,4,TPCC,6887,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,8.651746,182862.515617,0.069568,3.415101,0.207900,5.943701,0.012015,0.000000,0.062036,0.00717034457553423,0.0172175,395520,0,4.02407e5
1,CLV,false,100000,1,true,2,TPCC,1190,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,2.980805,133718.904324,0.008485,0.798871,0.097510,1.887639,0.005889,0.000000,0.006234,0.00209138135503664,0.00595,199295,0,2.00485e5
1,CLV,false,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.563764,177379.056148,0.000000,0.034171,0.065911,0.185482,0.002618,0.000000,0.000000,0,0,100000,0,1e5
1,CLV,false,100000,16,true,16,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,17.955000,1157113.245042,0.000000,0.972704,2.988210,8.794783,0.040674,0.000000,0.001262,7.0286828181565e-5,0,1298498,0,1.298498e6
1,CLV,false,100000,16,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,10.458124,534771.260098,0.000000,0.437409,1.745920,5.230147,0.022197,0.000000,0.000297,2.83989748065714e-5,0,699088,0,6.99088e5
1,CLV,false,100000,16,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.528804,327564.595560,0.000000,0.200572,0.683455,2.175537,0.010626,0.000000,0.000070,1.54566194518464e-5,0,370869,0,3.70869e5
1,CLV,false,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,2.374358,162382.449025,0.000000,0.099638,0.436136,1.083611,0.005293,0.000000,0.000000,0,0,192777,0,1.92777e5
1,CLV,false,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,1.068582,93581.951731,0.000000,0.035490,0.217707,0.340740,0.002625,0.000000,0.000000,0,0,100000,0,1e5
1,CLV,false,100000,8,true,16,TPCC,10628,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,26.379103,843904.364063,0.071625,6.905282,1.596309,16.114636,0.045253,0.000000,0.056512,0.0021423018060925,0.0066425,1391340,0,1.401968e6
1,CLV,false,100000,8,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,8.520335,707387.193932,0.000000,0.430655,0.863099,4.275417,0.021294,0.000000,0.000292,3.42709529613566e-5,0,753397,0,7.53397e5
1,CLV,false,100000,8,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,3.976250,389199.914189,0.000000,0.205145,0.435863,1.947268,0.010771,0.000000,0.000105,2.64067903175102e-5,0,386889,0,3.86889e5
1,CLV,false,100000,8,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,2.015945,187554.748650,0.000000,0.098674,0.234995,1.015521,0.005388,0.000000,0.000007,3.47231695309148e-6,0,189050,0,1.8905e5
1,CLV,false,100000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.863644,115788.391416,0.000000,0.034681,0.114897,0.307358,0.003028,0.000000,0.000000,0,0,100000,0,1e5
1,CLV,false,100000,4,true,16,TPCC,30507,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,40.027267,614635.421104,0.349490,15.558336,1.060767,27.073855,0.050738,0.000000,0.280351,0.00700400054792649,0.019066875,1537636,0,1.568143e6
1,CLV,false,100000,4,true,8,TPCC,5415,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,11.798019,489543.860123,0.030566,2.998466,0.477184,7.199430,0.022623,0.000000,0.024360,0.0020647534132637,0.00676875,721956,0,7.27371e5
1,CLV,false,100000,4,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,3.736819,417441.651970,0.000000,0.218992,0.352833,1.834451,0.010710,0.000000,0.000134,3.58593766516387e-5,0,389976,0,3.89976e5
1,CLV,false,100000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,1.627653,239779.638508,0.000000,0.095886,0.165938,0.795883,0.005200,0.000000,0.000026,1.59739207312615e-5,0,195139,0,1.95139e5
1,CLV,false,100000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.818007,122248.413755,0.000000,0.036367,0.123490,0.295932,0.002663,0.000000,0.000000,0,0,100000,0,1e5
1,CLV,false,100000,2,true,16,TPCC,82773,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,51.008718,492275.688975,1.531123,24.151325,0.979625,36.821190,0.053747,0.000000,1.220015,0.0239177742126356,0.051733125,1569397,0,1.65217e6
1,CLV,false,100000,2,true,8,TPCC,14348,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000023,18.518812,343945.167288,0.148199,7.141211,0.489725,12.757470,0.025657,0.000000,0.140233,0.00757246199162236,0.017935,796182,0,8.1053e5
1,CLV,false,100000,2,true,4,TPCC,2325,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,6.021048,250525.808102,0.016768,1.592685,0.244001,3.758220,0.011421,0.000000,0.010331,0.00171581425692006,0.0058125,377107,0,3.79432e5
1,CLV,false,100000,2,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.629242,232030.652573,0.000000,0.094580,0.166381,0.867845,0.005091,0.000000,0.000077,4.72612417308172e-5,0,189017,0,1.89017e5
1,CLV,false,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.654576,152770.762375,0.000000,0.035425,0.071200,0.236360,0.002691,0.000000,0.000000,0,0,100000,0,1e5
1,CLV,false,100000,1,true,16,TPCC,182470,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000075,119.176146,213657.522294,7.875091,59.037581,0.907550,76.494452,0.056622,0.000000,19.691351,0.165228962849663,0.11404375,1591430,0,1.7739e6
1,CLV,false,100000,1,true,8,TPCC,41443,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,24.436867,260601.328526,0.761605,11.503644,0.402143,17.415310,0.026807,0.000000,0.657893,0.0269221500448482,0.05180375,796035,0,8.37478e5
1,CLV,false,100000,1,true,4,TPCC,6907,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,8.711597,182050.193457,0.068705,3.401306,0.216988,5.973688,0.012058,0.000000,0.065052,0.00746728757080935,0.0172675,396487,0,4.03394e5
1,CLV,false,100000,1,true,2,TPCC,1059,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,2.822842,139975.241236,0.006609,0.745018,0.094194,1.777137,0.005693,0.000000,0.005270,0.00186691284882399,0.005295,197564,0,1.98623e5
1,CLV,false,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.573263,174439.946770,0.000000,0.033824,0.066818,0.188283,0.002577,0.000000,0.000000,0,0,100000,0,1e5
1,WOUND\_WAIT,pf,100000,16,true,16,TPCC,33,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,22.465248,1006716.130663,0.000608,1.125054,3.751517,10.550078,0.321914,0.240892,0.001422,6.32977655087538e-5,2.0625e-5,1413508,,1.413541e6
1,WOUND\_WAIT,pf,100000,16,true,8,TPCC,7,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,9.504453,606668.064364,0.000151,0.401842,1.692543,4.501990,0.138625,0.104315,0.000200,2.10427680582986e-5,8.75e-6,720756,,7.20763e5
1,WOUND\_WAIT,pf,100000,16,true,4,TPCC,3,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.174372,328540.941670,0.000048,0.176727,0.615856,1.954956,0.064984,0.049927,0.000069,1.65294324511567e-5,7.5e-6,342863,,3.42866e5
1,WOUND\_WAIT,pf,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,2.159073,180238.465455,0.000000,0.091104,0.345865,0.930273,0.028890,0.021209,0.000000,0,0,194574,,1.94574e5
1,WOUND\_WAIT,pf,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.888869,112502.491424,0.000000,0.033899,0.195757,0.255821,0.006838,0.003146,0.000000,0,0,100000,,1e5
1,WOUND\_WAIT,pf,100000,8,true,16,TPCC,7582,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,26.637461,817974.056761,0.049075,1.247514,2.219955,8.845618,0.292587,0.207818,8.555386,0.321178733964172,0.00473875,1361797,,1.369379e6
1,WOUND\_WAIT,pf,100000,8,true,8,TPCC,19,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,7.494898,797913.485722,0.000273,0.380298,0.854742,3.452458,0.119140,0.088714,0.000178,2.37494893192676e-5,2.375e-5,747535,,7.47554e5
1,WOUND\_WAIT,pf,100000,8,true,4,TPCC,4,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,4.153476,354663.869367,0.000061,0.190122,0.498082,2.021885,0.065789,0.049822,0.000048,1.1556585375719e-5,1e-5,368272,,3.68276e5
1,WOUND\_WAIT,pf,100000,8,true,2,TPCC,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.861067,198106.781572,0.000016,0.092047,0.214929,0.936052,0.028687,0.020926,0.000000,0,5e-6,184345,,1.84346e5
1,WOUND\_WAIT,pf,100000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.777499,128617.592292,0.000000,0.033815,0.118128,0.225221,0.006840,0.003201,0.000000,0,0,100000,,1e5
1,WOUND\_WAIT,pf,100000,4,true,16,TPCC,23546,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,51.854951,480025.442588,0.304335,1.522228,2.058059,10.186386,0.346538,0.261315,31.869857,0.614596222451353,0.01471625,1555731,,1.579277e6
1,WOUND\_WAIT,pf,100000,4,true,8,TPCC,3323,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,11.830973,482666.626673,0.018053,0.517471,0.923722,4.133389,0.137199,0.101184,3.739034,0.316037742626917,0.00415375,713802,,7.17125e5
1,WOUND\_WAIT,pf,100000,4,true,4,TPCC,6,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,3.362466,458272.008052,0.000061,0.198712,0.330350,1.607499,0.067694,0.052729,0.000187,5.56139452413794e-5,1.5e-5,385231,,3.85237e5
1,WOUND\_WAIT,pf,100000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,1.668626,238116.806448,0.000000,0.092303,0.180792,0.816024,0.029119,0.021311,0.000004,2.39718187299011e-6,0,198664,,1.98664e5
1,WOUND\_WAIT,pf,100000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.797018,125467.604588,0.000000,0.036175,0.112648,0.272457,0.007317,0.003387,0.000000,0,0,100000,,1e5
1,WOUND\_WAIT,pf,100000,2,true,16,TPCC,20635,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000059,91.276025,272850.269722,0.777704,1.536506,1.650184,10.169203,0.398803,0.319501,72.272578,0.791802425664352,0.012896875,1556543,,1.577178e6
1,WOUND\_WAIT,pf,100000,2,true,8,TPCC,11175,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000029,22.224531,277437.931192,0.123803,0.647788,0.873252,4.627203,0.159952,0.122279,13.612343,0.612491800164422,0.01396875,770741,,7.81916e5
1,WOUND\_WAIT,pf,100000,2,true,4,TPCC,2199,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,5.754699,271816.835179,0.012485,0.306899,0.381766,2.023906,0.086536,0.067895,1.795170,0.311948548481858,0.0054975,391056,,3.93255e5
1,WOUND\_WAIT,pf,100000,2,true,2,TPCC,4,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.653979,226750.127546,0.000045,0.087636,0.174577,0.881917,0.028396,0.020772,0.000112,6.77154909463784e-5,2e-5,187520,,1.87524e5
1,WOUND\_WAIT,pf,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.701834,142483.857947,0.000000,0.034904,0.095079,0.238804,0.007028,0.003156,0.000000,0,0,100000,,1e5
