0,2,1
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait EX lock 536901494885013,,
acquire lock 536901494885013,,
remove lock 536901494885013 from owners,,
retire lock 536901494885013,,
wait SH lock 536900749128487,,
acquire lock 536900749128487,,
remove lock 536900749128487 from owners,,
retire lock 536900749128487,,
wait EX lock 536900661059287,,
acquire lock 536900661059287,,
remove lock 536900661059287 from owners,,
retire lock 536900661059287,,
wait SH lock 536900843031853,,
acquire lock 536900843031853,,
remove lock 536900843031853 from owners,,
retire lock 536900843031853,,
wait EX lock 536900725913610,,
acquire lock 536900725913610,,
remove lock 536900725913610 from owners,,
retire lock 536900725913610,,
wait SH lock 536901074508511,,
acquire lock 536901074508511,,
remove lock 536901074508511 from owners,,
retire lock 536901074508511,,
wait EX lock 536900735619639,,
acquire lock 536900735619639,,
remove lock 536900735619639 from owners,,
retire lock 536900735619639,,
wait SH lock 536901106259664,,
acquire lock 536901106259664,,
remove lock 536901106259664 from owners,,
retire lock 536901106259664,,
wait EX lock 536900689668449,,
acquire lock 536900689668449,,
remove lock 536900689668449 from owners,,
retire lock 536900689668449,,
wait SH lock 536900942900877,,
acquire lock 536900942900877,,
remove lock 536900942900877 from owners,,
retire lock 536900942900877,,
wait EX lock 536900697020920,,
acquire lock 536900697020920,,
remove lock 536900697020920 from owners,,
retire lock 536900697020920,,
wait SH lock 536900969745073,,
acquire lock 536900969745073,,
remove lock 536900969745073 from owners,,
retire lock 536900969745073,,
wait EX lock 536900652861557,,
acquire lock 536900652861557,,
remove lock 536900652861557 from owners,,
retire lock 536900652861557,,
wait SH lock 536900812174474,,
acquire lock 536900812174474,,
remove lock 536900812174474 from owners,,
retire lock 536900812174474,,
wait EX lock 536900736163519,,
acquire lock 536900736163519,,
remove lock 536900736163519 from owners,,
retire lock 536900736163519,,
wait SH lock 536901108300370,,
acquire lock 536901108300370,,
remove lock 536901108300370 from owners,,
retire lock 536901108300370,,
wait EX lock 536900686080980,,
acquire lock 536900686080980,,
remove lock 536900686080980 from owners,,
retire lock 536900686080980,,
wait SH lock 536900930517872,,
acquire lock 536900930517872,,
remove lock 536900930517872 from owners,,
retire lock 536900930517872,,
wait EX lock 536900648379265,,
acquire lock 536900648379265,,
remove lock 536900648379265 from owners,,
retire lock 536900648379265,,
wait SH lock 536900795002728,,
acquire lock 536900795002728,,
remove lock 536900795002728 from owners,,
retire lock 536900795002728,,
wait EX lock 536900740370472,,
acquire lock 536900740370472,,
remove lock 536900740370472 from owners,,
retire lock 536900740370472,,
wait SH lock 536901123542903,,
acquire lock 536901123542903,,
remove lock 536901123542903 from owners,,
retire lock 536901123542903,,
pre-commit: txn 21's barriers = 0,,
txn 21 set commited,,
release lock 536901123542903 from retired,,
release lock 536900740370472 from retired,,
release lock 536900795002728 from retired,,
release lock 536900648379265 from retired,,
release lock 536900930517872 from retired,,
release lock 536900686080980 from retired,,
release lock 536901108300370 from retired,,
release lock 536900736163519 from retired,,
release lock 536900812174474 from retired,,
release lock 536900652861557 from retired,,
release lock 536900969745073 from retired,,
release lock 536900697020920 from retired,,
release lock 536900942900877 from retired,,
release lock 536900689668449 from retired,,
release lock 536901106259664 from retired,,
release lock 536900735619639 from retired,,
release lock 536901074508511 from retired,,
release lock 536900725913610 from retired,,
release lock 536900843031853 from retired,,
release lock 536900661059287 from retired,,
release lock 536900749128487 from retired,,
release lock 536901494885013 from retired,,
release lock 536900749115690 from retired,,
start txn 24,,
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait SH lock 536900749122391,,
acquire lock 536900749122391,,
remove lock 536900749122391 from owners,,
retire lock 536900749122391,,
wait SH lock 536901274661966,,
acquire lock 536901274661966,,
remove lock 536901274661966 from owners,,
retire lock 536901274661966,,
pre-commit: txn 24's barriers = 0,,
txn 24 set commited,,
release lock 536901274661966 from retired,,
release lock 536900749122391 from retired,,
release lock 536900749115690 from retired,,
start txn 27,,
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait SH lock 536900749125596,,
acquire lock 536900749125596,,
remove lock 536900749125596 from owners,,
retire lock 536900749125596,,
wait SH lock 536901419623088,,
acquire lock 536901419623088,,
remove lock 536901419623088 from owners,,
retire lock 536901419623088,,
pre-commit: txn 27's barriers = 0,,
txn 27 set commited,,
release lock 536901419623088 from retired,,
release lock 536900749125596 from retired,,
release lock 536900749115690 from retired,,
start txn 30,,
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait SH lock 536900749127610,,
acquire lock 536900749127610,,
remove lock 536900749127610 from owners,,
retire lock 536900749127610,,
wait SH lock 536901469771934,,
acquire lock 536901469771934,,
remove lock 536901469771934 from owners,,
retire lock 536901469771934,,
pre-commit: txn 30's barriers = 0,,
txn 30 set commited,,
release lock 536901469771934 from retired,,
release lock 536900749127610 from retired,,
release lock 536900749115690 from retired,,
start txn 33,,
wait SH lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait SH lock 536900749126631,,
acquire lock 536900749126631,,
remove lock 536900749126631 from owners,,
retire lock 536900749126631,,
wait SH lock 536901430421459,,
acquire lock 536901430421459,,
remove lock 536901430421459 from owners,,
retire lock 536901430421459,,
pre-commit: txn 33's barriers = 0,,
txn 33 set commited,,
release lock 536901430421459 from retired,,
release lock 536900749126631 from retired,,
release lock 536900749115690 from retired,,
start txn 36,,
wait EX lock 536900749115690,,
acquire lock 536900749115690,,
remove lock 536900749115690 from owners,,
retire lock 536900749115690,,
wait EX lock 536901272401159,,
acquire lock 536901272401159,,
remove lock 536901272401159 from owners,,
retire lock 536901272401159,,
wait SH lock 536900749122391,,
acquire lock 536900749122391,,
remove lock 536900749122391 from owners,,
retire lock 536900749122391,,
wait EX lock 536900702278990,,
acquire lock 536900702278990,,
remove lock 536900702278990 from owners,,
retire lock 536900702278990,,
wait SH lock 536900989146807,,
acquire lock 536900989146807,,
remove lock 536900989146807 from owners,,
retire lock 536900989146807,,
wait EX lock 536900639568170,,
acquire lock 536900639568170,,
remove lock 536900639568170 from owners,,
retire lock 536900639568170,,
wait SH lock 536900762153516,,
acquire lock 536900762153516,,
remove lock 536900762153516 from owners,,
retire lock 536900762153516,,
wait EX lock 536900717746242,,
acquire lock 536900717746242,,
remove lock 536900717746242 from owners,,
retire lock 536900717746242,,
wait SH lock 536901044157177,,
acquire lock 536901044157177,,
remove lock 536901044157177 from owners,,
retire lock 536901044157177,,
wait EX lock 536900659807463,,
acquire lock 536900659807463,,
remove lock 536900659807463 from owners,,
retire lock 536900659807463,,
wait SH lock 536900838276113,,
acquire lock 536900838276113,,
remove lock 536900838276113 from owners,,
retire lock 536900838276113,,
wait EX lock 536900642167189,,
acquire lock 536900642167189,,
remove lock 536900642167189 from owners,,
retire lock 536900642167189,,
