ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt,mthroughput
50000,0,True,WOUND_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.3,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,306245.0,0.0,0.0,43849.0,0.0,0.0,0.0,0.0,52107.0,0.0,81.2353,307147.0,12.8543,2.55365,0.0,0.0,0.0,2.92498,15.7593,23.7497,0.0,0.0,0.0,0.0,194735223.0,25.075,1559447.0,0.0,1198419.0,0.307147
50000,0,True,WOUND_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,265710.0,0.0,0.0,41280.0,0.0,0.0,0.0,0.0,47996.0,0.0,75.4287,333442.0,10.5378,2.6989799999999997,0.0,0.0,0.0,2.7671200000000002,16.9539,20.6159,0.0,0.0,0.0,0.0,242863583.0,22.363000000000003,1571943.0,0.0,1078768.0,0.333442
50000,0,True,WOUND_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.7,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,192280.0,0.0,0.0,34088.0,0.0,0.0,0.0,0.0,38174.0,0.0,59.1708,419225.0,6.32102,2.50983,0.0,0.0,0.0,3.07452,16.5564,14.9321,0.0,0.0,0.0,0.0,218152024.0,14.7934,1550366.0,0.0,808646.0,0.419225
50000,0,True,WOUND_WAIT,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.9,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,90413.0,0.0,0.0,24187.0,0.0,0.0,0.0,0.0,25529.0,0.0,39.563,626857.0,2.07118,2.50882,0.0,0.0,0.0,2.60535,16.9213,7.066489999999999,0.0,0.0,0.0,0.0,200570103.0,5.51008,1550023.0,0.0,387644.0,0.626857
50000,0,True,SILO,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.1,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,596943.0,0.0,0.0,33096.0,0.0,0.0,0.0,0.0,42434.0,0.0,65.8848,377260.0,14.4704,2.79405,0.0,0.0,0.0,1.44946,4.6168,46.1273,0.0,0.0,0.0,0.0,0.0,0.0,1553481.0,0.0,0.0,0.37726
50000,0,True,SILO,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.3,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,532984.0,0.0,0.0,32711.0,0.0,0.0,0.0,0.0,41610.0,0.0,64.4411,384779.0,13.7471,2.40551,0.0,0.0,0.0,1.6526599999999998,6.9202699999999995,41.2716,0.0,0.0,0.0,0.0,0.0,0.0,1549722.0,0.0,0.0,0.384779
50000,0,True,SILO,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,455700.0,0.0,0.0,31399.0,0.0,0.0,0.0,0.0,38796.0,0.0,60.6211,412646.0,11.5298,2.00946,0.0,0.0,0.0,2.17897,8.46608,35.3568,0.0,0.0,0.0,0.0,0.0,0.0,1563442.0,0.0,0.0,0.412646
50000,0,True,SILO,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.7,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,301676.0,0.0,0.0,23732.0,0.0,0.0,0.0,0.0,27726.0,0.0,41.4787,577410.0,5.95453,1.20032,0.0,0.0,0.0,1.57534,5.093719999999999,23.4497,0.0,0.0,0.0,0.0,0.0,0.0,1496888.0,0.0,0.0,0.57741
50000,0,True,SILO,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.9,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,155498.0,0.0,0.0,18979.0,0.0,0.0,0.0,0.0,20732.0,0.0,31.808000000000003,772017.0,2.67845,0.6917300000000001,0.0,0.0,0.0,1.8845900000000002,4.989809999999999,12.0794,0.0,0.0,0.0,0.0,0.0,0.0,1534767.0,0.0,0.0,0.772017
50000,0,True,WAIT_DIE,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.1,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,849927.0,0.0,0.0,45101.0,0.0,0.0,0.0,0.0,61536.0,0.0,97.4593,260126.0,25.9967,1.8297599999999998,0.0,0.0,0.0,2.2924900000000004,12.4673,65.9001,0.0,0.0,0.0,0.0,140833939.0,5.29871,1584479.0,0.0,476581.0,0.260126
50000,0,True,WAIT_DIE,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.3,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,769977.0,0.0,0.0,42491.0,0.0,0.0,0.0,0.0,56319.0,0.0,88.9419,284210.0,21.8102,1.80502,0.0,0.0,0.0,2.12894,11.8998,59.6771,0.0,0.0,0.0,0.0,147788174.0,4.58156,1579888.0,0.0,428600.0,0.28421
50000,0,True,WAIT_DIE,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.5,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,703946.0,0.0,0.0,42618.0,0.0,0.0,0.0,0.0,55245.0,0.0,87.7912,289752.0,20.0333,1.8235700000000001,0.0,0.0,0.0,2.6493599999999997,14.2844,54.6184,0.0,0.0,0.0,0.0,150217776.0,5.0399,1589854.0,0.0,381984.0,0.289752
50000,0,True,WAIT_DIE,False,False,True,False,WR,1,0,False,0.0,LH_MCSLOCK,100000,0,TOP,0.7,16,True,WR,0,False,10000000,16,True,YCSB,False,0.9,489590.0,0.0,0.0,33772.0,0.0,0.0,0.0,0.0,40346.0,0.0,63.4826,396756.0,10.3184,1.7445,0.0,0.0,0.0,1.74965,12.4805,38.0525,0.0,0.0,0.0,0.0,152869199.0,2.6191400000000002,1574196.0,0.0,260700.0,0.396756
