ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,IC3_EAGER_EXEC,IC3_MODIFIED_TPCC,IC3_RENDEZVOUS,LATCH,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_WH,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,TERMINATE_BY_COUNT,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,16,true,false,TPCC,false, 102820, 0, 0, 0, 0, 46556,0,0,0,0, 47108, 0, 0, 0, 159.987,338668, 2.32879, 92.1844, 78.6249, 0, 0, 0, 1.7895, 122.052, 6.91751, 0, 0, 0, 0, 0, 0, 8.27299, 3386392, 0, 17256, 2014836
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,32,true,false,TPCC,false, 68442, 0, 0, 0, 0, 120942,0,0,0,0, 121451, 0, 0, 0, 319.983,263171, 1.7156, 263.516, 249.747, 0, 0, 0, 1.4423, 290.805, 4.47147, 0, 0, 0, 0, 0, 0, 6.54533, 2631568, 0, 13323, 1435678
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,64,true,false,TPCC,false, 38803, 0, 0, 0, 0, 358528,0,0,0,0, 359079, 0, 0, 0, 639.949,178153, 1.27096, 595.495, 581.66, 0, 0, 0, 0.971511, 619.816, 2.46783, 0, 0, 0, 0, 0, 0, 4.54253, 1781388, 0, 8905, 903595
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,96,true,false,TPCC,false, 27512, 0, 0, 0, 0, 772370,0,0,0,0, 773615, 0, 0, 0, 959.837,124060, 1.79645, 919.205, 904.977, 0, 0, 0, 0.651936, 941.958, 1.88338, 0, 0, 0, 0, 0, 0, 4.66963, 1240390, 0, 6022, 647957
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,120,true,false,TPCC,false, 23867, 0, 0, 0, 0, 1235523,0,0,0,0, 1238290, 0, 0, 0, 1199.98,96888.6, 2.91798, 1161.5, 1147.31, 0, 0, 0, 0.502172, 1182.07, 1.68966, 0, 0, 0, 0, 0, 0, 5.31773, 968868, 0, 4724, 492840
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,1,true,false,TPCC,false, 7566, 0, 0, 0, 0, 6576,0,0,0,0, 6576, 0, 0, 0, 10,151033, 0.0665306, 0.426707, 0.0377384, 0, 0, 0, 0.8402, 3.26477, 0.0379504, 0, 0, 0, 0, 0, 0, 0, 1510335, 0, 7566, 0
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,2,true,false,TPCC,false, 9560, 0, 0, 0, 0, 12196,0,0,0,0, 12206, 0, 0, 0, 19.9777,162851, 0.137691, 4.05296, 2.79954, 0, 0, 0, 1.0501, 12.3174, 0.145333, 0, 0, 0, 0, 0, 0, 0.0826805, 1626697, 0, 8233, 80545
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,4,true,false,TPCC,false, 25977, 0, 0, 0, 0, 15430,0,0,0,0, 15490, 0, 0, 0, 39.9921,256921, 0.356527, 10.9583, 7.2687, 0, 0, 0, 1.31662, 25.6695, 1.11009, 0, 0, 0, 0, 0, 0, 0.688045, 2568705, 0, 12913, 583251
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,8,true,false,TPCC,false, 68087, 0, 0, 0, 0, 22040,0,0,0,0, 22240, 0, 0, 0, 79.9753,358146, 1.0632, 27.7054, 19.2703, 0, 0, 0, 1.93106, 53.1119, 4.11434, 0, 0, 0, 0, 0, 0, 2.35832, 3580350, 0, 17741, 1424551
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,16,true,false,TPCC,false, 102256, 0, 0, 0, 0, 46619,0,0,0,0, 47176, 0, 0, 0, 159.983,338203, 2.33198, 91.849, 78.2769, 0, 0, 0, 1.79714, 121.787, 6.91738, 0, 0, 0, 0, 0, 0, 8.45094, 3381670, 0, 16825, 2030814
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,32,true,false,TPCC,false, 66845, 0, 0, 0, 0, 121837,0,0,0,0, 122336, 0, 0, 0, 319.977,261271, 1.6748, 264, 250.26, 0, 0, 0, 1.42417, 291.298, 4.35382, 0, 0, 0, 0, 0, 0, 6.4003, 2612527, 0, 13047, 1410009
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,64,true,false,TPCC,false, 39136, 0, 0, 0, 0, 362026,0,0,0,0, 362596, 0, 0, 0, 639.927,176423, 1.30024, 595.392, 581.508, 0, 0, 0, 0.951347, 619.718, 2.50352, 0, 0, 0, 0, 0, 0, 4.58129, 1764033, 0, 8975, 905829
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,96,true,false,TPCC,false, 27728, 0, 0, 0, 0, 773871,0,0,0,0, 775057, 0, 0, 0, 959.833,123829, 1.72342, 919.605, 905.405, 0, 0, 0, 0.650415, 942.24, 1.88354, 0, 0, 0, 0, 0, 0, 4.49767, 1238073, 0, 6073, 639781
50000,true,false,true,0.15,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,false,120,true,false,TPCC,false, 23894, 0, 0, 0, 0, 1216842,0,0,0,0, 1220183, 0, 0, 0, 1199.94,98326.2, 3.52487, 1158.99, 1144.71, 0, 0, 0, 0.514653, 1180.05, 1.67132, 0, 0, 0, 0, 0, 0, 6.50322, 983209, 0, 4855, 513875
