ABORT_PENALTY,BB_ALWAYS_RETIRE_READ,BB_AUTORETIRE,BB_DYNAMIC_TS,BB_LAST_RETIRE,BB_OPT_RAW,BB_PRECOMMIT,CC_ALG,COMPILE_ONLY,CPU_FREQ,IC3_EAGER_EXEC,IC3_MODIFIED_TPCC,IC3_RENDEZVOUS,LATCH,MAX_RUNTIME,MAX_TXN_PER_PART,NDEBUG,NUM_WH,OUTPUT_TO_FILE,PF_ABORT,PF_BASIC,PF_CS,TERMINATE_BY_COUNT,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_cnt_long,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,user_abort_cnt,wait_cnt
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,64,true,false,TPCC,false, 143094, 0, 0, 0, 354307,0,0,0,0, 354873, 0, 2270.99,180263, 4.6661, 2111.5, 2062.39, 0, 0, 0, 3.4299, 2198.31, 9.10033, 0, 0, 0, 0, 0, 0, 16.6406, 6396486, 0, 32233, 3261586
50000,true,false,true,0,true,false,SILO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,1,true,false,TPCC,false, 501, 0, 0, 0, 7108,0,0,0,0, 7108, 0, 0.715527,139757, 0.0046753, 0.053585, 0, 0, 0, 0, 0.0353857, 0.27489, 0.00220541, 0, 0, 0, 0, 0, 0, 0, 100000, 0, 501, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,1,true,false,TPCC,false, 501, 0, 0, 0, 6073,0,0,0,0, 6073, 0, 0.611407,163557, 0.00402121, 0.0211183, 0, 0, 0, 0, 0.0507646, 0.141435, 0.00207729, 0, 0, 0, 0, 0, 13364823, 0, 100000, 0, 501, 0
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,1,true,false,TPCC,false, 501, 0, 0, 0, 6559,0,0,0,0, 6559, 0, 0.660339,151437, 0.0043879, 0.0277011, 0.0024691, 0, 0, 0, 0.0506729, 0.214962, 0.00205184, 0, 0, 0, 0, 0, 0, 0, 100000, 0, 501, 0
50000,true,false,true,0,true,false,IC3,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,1,true,false,TPCC,false, 501, 0, 0, 0, 7722,0,0,0,0, 7722, 0, 0.775027,129028, 0.00282655, 0.0618286, 0.000864005, 0, 0, 0, 0.0418535, 0.208738, 0.00206049, 0, 0, 0, 0, 0, 0, 0.00542638, 100000, 0, 501, 0
50000,true,false,true,0,true,false,SILO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,2,true,false,TPCC,false, 18096, 0, 0, 0, 13888,0,0,0,0, 16344, 0, 3.2527,122031, 0.496398, 0.196189, 0, 0, 0, 0, 0.0790058, 0.572069, 1.36383, 0, 0, 0, 0, 0, 0, 0, 198465, 0, 1016, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,2,true,false,TPCC,false, 3304, 0, 0, 0, 14591,0,0,0,0, 14648, 0, 2.9219,135793, 0.0271276, 0.169296, 0, 0, 0, 0, 0.181969, 0.91247, 0.18854, 0, 0, 0, 0, 0, 42118690, 0.780704, 198386, 0, 997, 132820
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,2,true,false,TPCC,false, 1165, 0, 0, 0, 12631,0,0,0,0, 12643, 0, 2.47118,157236, 0.0171145, 0.48599, 0.34123, 0, 0, 0, 0.128477, 1.51817, 0.0182888, 0, 0, 0, 0, 0, 0, 0.0155813, 194279, 0, 991, 14479
50000,true,false,true,0,true,false,IC3,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,2,true,false,TPCC,false, 1181, 0, 0, 0, 12114,0,0,0,0, 12121, 0, 2.41468,164482, 0.0626926, 0.279178, 0.026603, 0, 0, 0, 0.0868263, 0.354575, 0.0203241, 0, 0, 0, 0, 0, 0, 0.449847, 198585, 0, 983, 0
50000,true,false,true,0,true,false,SILO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,4,true,false,TPCC,false, 90692, 0, 0, 0, 23520,0,0,0,0, 32568, 0, 11.4831,122746, 3.19509, 0.553728, 0, 0, 0, 0, 0.162445, 1.07627, 7.16657, 0, 0, 0, 0, 0, 0, 0, 352377, 0, 1726, 0
50000,true,false,true,0,true,false,WOUND_WAIT,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,4,true,false,TPCC,false, 3941, 0, 0, 0, 22950,0,0,0,0, 23002, 0, 9.22378,173056, 0.0650681, 0.41803, 0, 0, 0, 0, 0.227219, 1.82918, 0.163485, 0, 0, 0, 0, 0, 67931950, 5.42698, 399058, 0, 1981, 390608
50000,true,false,true,0,true,false,BAMBOO,false,2.8,true,true,true,LH_MCSLOCK,10,100000,true,1,true,false,true,false,true,4,true,false,TPCC,false, 4088, 0, 0, 0, 15691,0,0,0,0, 15754, 0, 6.31573,252592, 0.0573891, 1.76178, 1.18796, 0, 0, 0, 0.209134, 4.09011, 0.170776, 0, 0, 0, 0, 0, 0, 0.105023, 398826, 0, 2061, 88924
