ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_BENCHMARK,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,NUM_WH,PERC_PAYMENT,POS_HS,READ_PERC,REORDER_WH,REQ_PER_QUERY,RETIRE_ON,RETIRE_READ,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,CLV,true,0,false,true,,true,,,,,100000,,16,0.5,,,false,,true,false,,true,,,16,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014983,-nan,0.000000,0.000000,0.000007,10.091421,2215077.468287,0.000000,0.536185,1.139264,4.504718,0.014901,0.000000,0.000088,1397080
50000,CLV,true,0,false,true,,true,,,,,100000,,1,0.5,,,false,,true,false,,true,,,32,TPCC,false,,293871,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.603602,-nan,0.000000,0.000000,0.000107,355.788682,284485.901605,16.065032,126.716393,1.995010,143.268980,22.906157,0.000000,162.276244,3163027
50000,CLV,true,0,false,true,,true,,,,,100000,,2,0.5,,,false,,true,false,,true,,,32,TPCC,false,,60977,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.793359,-nan,0.000000,0.000000,0.000051,164.775246,618606.315801,1.771899,68.069855,2.267378,86.732302,4.873600,0.000000,57.991988,3185344
50000,CLV,true,0,false,true,,true,,,,,100000,,4,0.5,,,false,,true,false,,true,,,32,TPCC,false,,29769,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.358644,-nan,0.000000,0.000000,0.000029,86.359698,1080391.365789,0.457073,33.147843,2.564982,47.861091,2.402604,0.000000,19.897074,2915696
50000,CLV,true,0,false,true,,true,,,,,100000,,8,0.5,,,false,,true,false,,true,,,32,TPCC,false,,30604,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.534476,-nan,0.000000,0.000000,0.000021,62.461525,1496969.151144,0.230108,20.553713,3.301848,36.786140,2.425703,0.000000,6.675568,2921968
50000,CLV,true,0,false,true,,true,,,,,100000,,16,0.5,,,false,,true,false,,true,,,32,TPCC,false,,16259,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062031,-nan,0.000000,0.000000,0.000017,48.712215,1874721.239670,0.077625,2.403820,4.428082,15.683721,1.320924,0.000000,14.516927,2853807
50000,CLV,true,0,false,true,,true,,,,,100000,,1,0.5,,,false,,true,false,,true,,,1,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001074,-nan,0.000000,0.000000,0.000004,0.427019,234181.358910,0.000000,0.027271,0.045822,0.139488,0.001116,0.000000,0.000000,100000
50000,CLV,true,0,false,true,,true,,,,,100000,,2,0.5,,,false,,true,false,,true,,,1,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001068,-nan,0.000000,0.000000,0.000005,0.493465,202648.524209,0.000000,0.027084,0.048007,0.160010,0.001105,0.000000,0.000000,100000
50000,CLV,true,0,false,true,,true,,,,,100000,,4,0.5,,,false,,true,false,,true,,,1,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001073,-nan,0.000000,0.000000,0.000005,0.499058,200377.661798,0.000000,0.027294,0.055081,0.150471,0.001114,0.000000,0.000000,100000
50000,CLV,true,0,false,true,,true,,,,,100000,,8,0.5,,,false,,true,false,,true,,,1,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001071,-nan,0.000000,0.000000,0.000006,0.606945,164759.439677,0.000000,0.027226,0.067271,0.181236,0.001107,0.000000,0.000000,100000
50000,CLV,true,0,false,true,,true,,,,,100000,,16,0.5,,,false,,true,false,,true,,,1,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001082,-nan,0.000000,0.000000,0.000009,0.903705,110655.563917,0.000000,0.027898,0.142623,0.290046,0.001099,0.000000,0.000000,100000
50000,CLV,true,0,false,true,,true,,,,,100000,,1,0.5,,,false,,true,false,,true,,,2,TPCC,false,,1034,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002381,-nan,0.000000,0.000000,0.000010,1.955836,202995.544570,0.003121,0.109791,0.122194,0.766673,0.083964,0.000000,0.551487,198513
50000,CLV,true,0,false,true,,true,,,,,100000,,2,0.5,,,false,,true,false,,true,,,2,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002134,-nan,0.000000,0.000000,0.000006,1.212136,328309.621763,0.000000,0.070777,0.122067,0.634154,0.002161,0.000000,0.000021,198978
50000,CLV,true,0,false,true,,true,,,,,100000,,4,0.5,,,false,,true,false,,true,,,2,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002079,-nan,0.000000,0.000000,0.000006,1.126462,347486.090956,0.000000,0.068563,0.108309,0.538321,0.002125,0.000000,0.000002,195715
50000,CLV,true,0,false,true,,true,,,,,100000,,8,0.5,,,false,,true,false,,true,,,2,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002038,-nan,0.000000,0.000000,0.000007,1.279285,298737.260885,0.000000,0.067498,0.131305,0.613754,0.002065,0.000000,0.000000,191085
50000,CLV,true,0,false,true,,true,,,,,100000,,16,0.5,,,false,,true,false,,true,,,2,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002150,-nan,0.000000,0.000000,0.000009,1.733797,228003.661631,0.000000,0.071526,0.226968,0.795680,0.002185,0.000000,0.000000,197656
50000,CLV,true,0,false,true,,true,,,,,100000,,2,0.5,,,false,,true,false,,true,,,4,TPCC,false,,2032,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004578,-nan,0.000000,0.000000,0.000010,3.885919,398246.048079,0.006059,0.216800,0.238433,1.424359,0.161834,0.000000,1.110058,386888
50000,CLV,true,0,false,true,,true,,,,,100000,,4,0.5,,,false,,true,false,,true,,,4,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004158,-nan,0.000000,0.000000,0.000006,2.501370,623048.966674,0.000000,0.148394,0.242290,1.258674,0.004201,0.000000,0.000038,389619
50000,CLV,true,0,false,true,,true,,,,,100000,,8,0.5,,,false,,true,false,,true,,,4,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004069,-nan,0.000000,0.000000,0.000006,2.341373,651615.817454,0.000000,0.134482,0.222315,1.057793,0.004097,0.000000,0.000000,381419
50000,CLV,true,0,false,true,,true,,,,,100000,,16,0.5,,,false,,true,false,,true,,,4,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003765,-nan,0.000000,0.000000,0.000007,2.412687,575539.317632,0.000000,0.123506,0.268383,1.055211,0.003743,0.000000,0.000001,347149
50000,CLV,true,0,false,true,,true,,,,,100000,,1,0.5,,,false,,true,false,,true,,,8,TPCC,false,,6584,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.199775,-nan,0.000000,0.000000,0.000024,19.220343,331044.255060,0.082421,7.458706,0.559884,11.489533,0.518399,0.000000,4.228726,795348
50000,CLV,true,0,false,true,,true,,,,,100000,,2,0.5,,,false,,true,false,,true,,,8,TPCC,false,,5436,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.777383,-nan,0.000000,0.000000,0.000015,11.279013,530676.951999,0.033379,3.629418,0.531293,6.955135,0.429294,0.000000,1.160071,748189
50000,CLV,true,0,false,true,,true,,,,,100000,,4,0.5,,,false,,true,false,,true,,,8,TPCC,false,,3988,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008837,-nan,0.000000,0.000000,0.000011,8.447880,704637.814103,0.013093,0.415205,0.514695,2.891814,0.317237,0.000000,2.464153,744087
50000,CLV,true,0,false,true,,true,,,,,100000,,8,0.5,,,false,,true,false,,true,,,8,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008028,-nan,0.000000,0.000000,0.000007,5.264588,1137556.742463,0.000000,0.279045,0.529605,2.409277,0.008092,0.000000,0.000004,748596
50000,CLV,true,0,false,true,,true,,,,,100000,,16,0.5,,,false,,true,false,,true,,,8,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007634,-nan,0.000000,0.000000,0.000007,4.826601,1177956.856601,0.000000,0.263789,0.654877,2.230512,0.007655,0.000000,0.000018,710691
50000,CLV,true,0,false,true,,true,,,,,100000,,1,0.5,,,false,,true,false,,true,,,16,TPCC,false,,30518,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.703205,-nan,0.000000,0.000000,0.000044,70.257341,363153.167373,0.769390,30.332336,0.937451,38.956225,2.379994,0.000000,22.501099,1594636
50000,CLV,true,0,false,true,,true,,,,,100000,,2,0.5,,,false,,true,false,,true,,,16,TPCC,false,,15756,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.227227,-nan,0.000000,0.000000,0.000021,29.577320,774911.590623,0.166124,11.024011,0.922247,16.723426,1.238246,0.000000,6.438211,1432488
50000,CLV,true,0,false,true,,true,,,,,100000,,4,0.5,,,false,,true,false,,true,,,16,TPCC,false,,13417,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.884492,-nan,0.000000,0.000000,0.000015,23.662543,1038690.033063,0.075577,7.434132,1.095295,13.703992,1.057354,0.000000,2.486606,1536128
50000,CLV,true,0,false,true,,true,,,,,100000,,8,0.5,,,false,,true,false,,true,,,16,TPCC,false,,7152,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018190,-nan,0.000000,0.000000,0.000012,18.243594,1307859.827069,0.024960,0.796786,1.120845,6.135572,0.570842,0.000000,5.362191,1491254
50000,CLV,true,0,false,true,,true,,,,,100000,,16,0.5,,,false,,true,false,,true,,,16,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015085,-nan,0.000000,0.000000,0.000007,10.297358,2170938.264536,0.000000,0.529916,1.164390,4.550714,0.014772,0.000000,0.000101,1397183
50000,CLV,true,0,false,true,,true,,,,,100000,,1,0.5,,,false,,true,false,,true,,,32,TPCC,false,,62804,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82.281900,-nan,0.000000,0.000000,0.000113,364.431427,280487.072064,4.734862,91.861674,2.095163,113.311189,4.973801,0.000000,228.512766,3194322
50000,CLV,true,0,false,true,,true,,,,,100000,,2,0.5,,,false,,true,false,,true,,,32,TPCC,false,,44650,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.782974,-nan,0.000000,0.000000,0.000053,160.822446,603228.231757,1.437531,61.724362,2.158419,79.843085,3.628306,0.000000,63.302553,3031645
50000,CLV,true,0,false,true,,true,,,,,100000,,4,0.5,,,false,,true,false,,true,,,32,TPCC,false,,37368,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.024986,-nan,0.000000,0.000000,0.000031,91.078060,1037150.588678,0.636963,34.844044,2.738009,50.167080,3.074407,0.000000,20.699114,2951927
50000,CLV,true,0,false,true,,true,,,,,100000,,16,0.5,,,false,,true,false,,true,,,32,TPCC,false,,15693,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039028,-nan,0.000000,0.000000,0.000018,47.709161,1789897.909581,0.077986,2.301717,3.964627,15.594935,1.290704,0.000000,14.293326,2668579
50000,CLV,true,0,false,true,,true,,,,,100000,,1,0.5,,,false,,true,false,,true,,,1,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001070,-nan,0.000000,0.000000,0.000004,0.426476,234479.683638,0.000000,0.027352,0.046174,0.140308,0.001110,0.000000,0.000000,100000
50000,CLV,true,0,false,true,,true,,,,,100000,,2,0.5,,,false,,true,false,,true,,,1,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001087,-nan,0.000000,0.000000,0.000005,0.456517,219050.019189,0.000000,0.027304,0.050307,0.150701,0.001110,0.000000,0.000000,100000
50000,CLV,true,0,false,true,,true,,,,,100000,,4,0.5,,,false,,true,false,,true,,,1,TPCC,false,,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001072,-nan,0.000000,0.000000,0.000005,0.487397,205171.436749,0.000000,0.028964,0.055925,0.142092,0.001115,0.000000,0.000000,100000
