ABORT_PENALTY,CC_ALG,CLV_RETIRE_OFF,CLV_RETIRE_ON,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,16,0,false,100000,4,true,8,TPCC,5438,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,12.666825,467648.032006,0.036534,3.199527,0.538524,7.700797,0.023454,0.000000,0.035105,740452
1,CLV,16,0,false,100000,4,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,3.765207,405828.433023,0.000000,0.212137,0.365436,1.866524,0.010561,0.000000,0.000210,382007
1,CLV,16,0,false,100000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.834638,209877.893548,0.000000,0.099043,0.214045,0.965977,0.005415,0.000000,0.000011,192525
1,CLV,16,0,false,100000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.783148,127689.857721,0.000000,0.036168,0.112150,0.267614,0.002658,0.000000,0.000000,100000
1,CLV,16,0,false,100000,2,true,16,TPCC,82656,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,48.436912,520260.742086,1.399167,23.190434,0.928003,35.218945,0.053927,0.000000,1.036217,1574989
1,CLV,16,0,false,100000,2,true,8,TPCC,14018,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000023,18.465930,340446.212595,0.148690,7.177468,0.482949,12.827132,0.025355,0.000000,0.119257,785832
1,CLV,16,0,false,100000,2,true,4,TPCC,2392,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,6.753763,234752.686810,0.019088,1.803996,0.268433,4.262836,0.011778,0.000000,0.012038,396366
1,CLV,16,0,false,100000,2,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.846436,208144.783147,0.000000,0.097333,0.191976,0.975995,0.005266,0.000000,0.000040,192163
1,CLV,16,0,false,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.700529,142749.281500,0.000000,0.035410,0.070461,0.250660,0.002668,0.000000,0.000000,100000
1,CLV,16,0,false,100000,1,true,16,TPCC,185802,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000072,114.965548,221581.233472,7.557957,56.876871,0.889581,73.783472,0.057144,0.000000,18.826797,1592138
1,CLV,16,0,false,100000,1,true,8,TPCC,42220,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,24.633232,259019.202126,0.752519,11.624634,0.403536,17.668645,0.026325,0.000000,0.622145,797560
1,CLV,16,0,false,100000,1,true,4,TPCC,6887,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,8.651746,182862.515617,0.069568,3.415101,0.207900,5.943701,0.012015,0.000000,0.062036,395520
1,CLV,16,0,false,100000,1,true,2,TPCC,1190,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,2.980805,133718.904324,0.008485,0.798871,0.097510,1.887639,0.005889,0.000000,0.006234,199295
1,CLV,16,0,false,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.563764,177379.056148,0.000000,0.034171,0.065911,0.185482,0.002618,0.000000,0.000000,100000
1,CLV,16,0,false,100000,16,true,16,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,17.955000,1157113.245042,0.000000,0.972704,2.988210,8.794783,0.040674,0.000000,0.001262,1298498
1,CLV,16,0,false,100000,16,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,10.458124,534771.260098,0.000000,0.437409,1.745920,5.230147,0.022197,0.000000,0.000297,699088
1,CLV,16,0,false,100000,16,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.528804,327564.595560,0.000000,0.200572,0.683455,2.175537,0.010626,0.000000,0.000070,370869
1,CLV,16,0,false,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,2.374358,162382.449025,0.000000,0.099638,0.436136,1.083611,0.005293,0.000000,0.000000,192777
1,CLV,16,0,false,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,1.068582,93581.951731,0.000000,0.035490,0.217707,0.340740,0.002625,0.000000,0.000000,100000
1,CLV,16,0,false,100000,8,true,16,TPCC,10628,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,26.379103,843904.364063,0.071625,6.905282,1.596309,16.114636,0.045253,0.000000,0.056512,1391340
1,CLV,16,0,false,100000,8,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,8.520335,707387.193932,0.000000,0.430655,0.863099,4.275417,0.021294,0.000000,0.000292,753397
1,CLV,16,0,false,100000,8,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,3.976250,389199.914189,0.000000,0.205145,0.435863,1.947268,0.010771,0.000000,0.000105,386889
1,CLV,16,0,false,100000,8,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,2.015945,187554.748650,0.000000,0.098674,0.234995,1.015521,0.005388,0.000000,0.000007,189050
