ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,16,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,2,0.5,true,1,true,true,TPCC,false, 524, 0, 5106,0,0,0,0, 5106, 0.514813,194245, 0, 0.0589589, 0.00107313, 0.0189509, 0.111217, 0.0611328, 0.281992, 0.00198141, 0.0165934, 0.0153773, 0, 0, 0, 0, 100000, 524, 0
50000,16,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,2,0.5,true,2,true,true,TPCC,false, 938, 1, 8002,0,0,0,0, 8002, 1.58816,248060, 0, 0.215123, 0.00212295, 0.0392497, 0.439518, 0.140217, 0.918204, 0.00389514, 0.0255507, 0.101517, 0.0206353, 0.0592198, 0, 8.07e-07, 196980, 938, 1
50000,16,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,2,0.5,true,4,true,true,TPCC,false, 3057, 2, 9320,0,0,0,0, 9338, 3.56172,425034, 0.00715246, 0.617409, 0.102526, 0.115611, 0.954424, 0.277784, 2.07864, 0.0913437, 0.066646, 0.250904, 0.0446167, 0.129817, 0, 0.00495297, 378463, 1973, 10416
50000,16,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,2,0.5,true,8,true,true,TPCC,false, 11717, 4, 12817,0,0,0,0, 12915, 10.2711,615479, 0.0776395, 2.24455, 0.905724, 0.346737, 2.52229, 0.63458, 6.30331, 0.633159, 0.205808, 0.670781, 0.123629, 0.345292, 0, 0.0488483, 790204, 3765, 78174
50000,0,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,true,TPCC,false, 41133, 8, 16547,0,0,0,0, 16833, 25.3509,945178, 0.42973, 7.6549, 4.2656, 0.805979, 5.06963, 0.914571, 15.584, 2.62756, 0.548096, 1.90062, 0.323729, 0.94509, 0, 0.423535, 1497571, 7478, 392252
50000,4,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,true,TPCC,false, 47314, 8, 15964,0,0,0,0, 16262, 25.1252,978342, 0.459153, 7.21776, 4.02686, 0.772843, 4.66277, 1.09379, 14.6713, 3.0926, 0.522581, 1.7394, 0.314146, 0.880048, 0, 0.36637, 1536315, 7683, 390083
50000,12,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,true,TPCC,false, 42674, 8, 17351,0,0,0,0, 17667, 26.4128,900568, 0.47071, 7.97099, 4.60117, 0.814134, 5.34049, 1.12041, 16.2692, 2.75431, 0.55534, 1.88121, 0.321319, 0.928489, 0, 0.426899, 1486658, 7469, 384185
50000,0,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,2,0.5,true,32,true,true,TPCC,false, 168810, 16, 32292,0,0,0,0, 33582, 96.4657,948661, 3.69944, 38.5152, 27.9694, 2.35379, 12.8179, 2.20319, 59.3224, 12.1887, 1.61278, 6.84627, 1.05776, 2.87011, 0, 5.11838, 2859791, 14227, 1554111
50000,4,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,2,0.5,true,32,true,true,TPCC,false, 216180, 16, 29954,0,0,0,0, 31220, 96.2232,1.02046e+06, 3.89585, 36.6237, 26.6694, 2.29025, 12.1449, 2.54919, 56.8995, 15.8593, 1.59268, 6.24185, 1.06368, 2.63214, 0, 3.4521, 3068498, 15531, 1551951
50000,16,true,BAMBOO,false,false,true,true,true,true,LH_MCSLOCK,100000,2,0.5,true,32,true,true,TPCC,false, 179161, 16, 32631,0,0,0,0, 33840, 106.249,941456, 3.7905, 42.3677, 30.3399, 2.69364, 14.6536, 2.47121, 65.8521, 12.8831, 1.83442, 7.94192, 1.15727, 3.26991, 0, 6.23045, 3125898, 15790, 1784458
