ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,1,true,true,TPCC,false, 524, 0, 4157,0,0,0,0, 4157, 0.419046,238637, 0, 0.0260457, 0.00106859, 0, 0, 0.0370219, 0.145134, 0.00198831, 0, 0, 0, 0, 0, 0, 100000, 524, 0
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,2,true,true,TPCC,false, 969, 0, 7281,0,0,0,0, 7281, 1.43928,272486, 0, 0.145996, 0.00210386, 0, 0, 0.111388, 0.840086, 0.00383232, 0, 0, 0, 0, 0, 0, 196092, 969, 0
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,4,true,true,TPCC,false, 3079, 0, 8059,0,0,0,0, 8077, 3.09562,491685, 0.00688241, 0.452707, 0.0856436, 0, 0, 0.219346, 1.725, 0.101619, 0, 0, 0, 0, 0, 0.00418603, 380517, 1867, 9527
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,8,true,true,TPCC,false, 12557, 0, 11739,0,0,0,0, 11831, 9.34939,671715, 0.0723708, 1.8289, 0.791142, 0, 0, 0.548046, 5.47523, 0.689515, 0, 0, 0, 0, 0, 0.0511045, 785016, 3888, 82883
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,true,TPCC,false, 41908, 0, 16118,0,0,0,0, 16407, 24.3551,969695, 0.428933, 6.85871, 4.00623, 0, 0, 0.968921, 14.665, 2.71292, 0, 0, 0, 0, 0, 0.45838, 1476066, 7282, 407383
50000,4,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,true,TPCC,false, 42811, 0, 14447,0,0,0,0, 14707, 22.5577,1.08184e+06, 0.398128, 6.15583, 3.48987, 0, 0, 0.919261, 13.0427, 2.74479, 0, 0, 0, 0, 0, 0.446098, 1525233, 7643, 438847
50000,12,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,true,TPCC,false, 43588, 0, 14705,0,0,0,0, 14968, 23.1508,1.06291e+06, 0.406481, 6.36908, 3.66875, 0, 0, 0.927047, 13.5229, 2.7955, 0, 0, 0, 0, 0, 0.429989, 1537949, 7781, 434025
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,32,true,true,TPCC,false, 191257, 0, 33791,0,0,0,0, 35117, 110.31,907325, 4.16197, 42.6299, 31.3521, 0, 0, 2.57608, 66.1501, 13.8791, 0, 0, 0, 0, 0, 7.51199, 3127720, 15594, 1831885
50000,4,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,32,true,true,TPCC,false, 212907, 0, 28655,0,0,0,0, 29890, 89.1257,1.06604e+06, 3.67423, 32.286, 22.6832, 0, 0, 2.06289, 51.488, 15.5562, 0, 0, 0, 0, 0, 4.70699, 2969116, 14808, 1753283
50000,16,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,32,true,true,TPCC,false, 170564, 0, 31629,0,0,0,0, 32835, 96.6857,970416, 3.54716, 37.8824, 27.5771, 0, 0, 2.12781, 58.5486, 12.2995, 0, 0, 0, 0, 0, 6.80557, 2932044, 14809, 1793290
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,1,true,true,TPCC,false, 514, 0, 4650,0,0,0,0, 4650, 0.4686,213402, 0, 0.0279449, 0.00115006, 0, 0, 0.0462677, 0.150015, 0.00218395, 0, 0, 0, 0, 0, 0, 100000, 514, 0
50000,0,true,BAMBOO,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,2,true,true,TPCC,false, 958, 0, 7291,0,0,0,0, 7291, 1.42519,272126, 0, 0.152086, 0.00206167, 0, 0, 0.12062, 0.7932, 0.00379898, 0, 0, 0, 0, 0, 3.84e-07, 193916, 958, 1
