ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.75,True,True,1024*1024*20,16,YCSB,False,0,2193143,0,0,10.103491,16,15,181528,1.7792990000000002,1.079392,0.245198,4.094664,1.440635,8.985412,2.364737,0,0,4.4e-05,222.36706,112218.2755,153.544497,16.559382,2.1013029999999997,13.99249,168.774246,0.0,0.060272000000000006,1559603,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,0.75,True,True,1024*1024*20,32,YCSB,False,0,7760166,0,0,29.901476000000002,32,30,749167,6.3144860000000005,6.917694,1.1967299999999998,22.166235,4.724837,21.152389000000003,2.448052,0,0,6.3e-05,762.545847,132117.9367,565.414491,54.019431000000004,2.7033549999999997,29.609185999999998,597.5096679999999,0.0,2.444339,3148312,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,1.0,True,True,1024*1024*20,16,YCSB,False,0,3585953,0,0,12.507779,16,15,513573,2.4977709999999997,1.8296459999999999,0.36766,7.716918,1.950498,25.281728,2.506086,0,0,3.6e-05,355.836126,70160.34117999999,299.905619,37.571876,2.661499,17.261408,274.996759,0.0,0.110175,1560349,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,16,1.0,True,True,1024*1024*20,32,YCSB,False,0,11016915,0,0,35.005691999999996,32,31,1379397,8.939119,9.350874000000001,1.612003,33.970269,5.9773629999999995,41.651747,2.674708,0,0,5.6999999999999996e-05,1064.6791119999998,90768.98276,893.276649,88.86439,3.13616,31.194221000000002,846.666191,0.0,2.6734430000000002,3019995,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,32,0.0,True,True,1024*1024*20,16,YCSB,False,0,68261,0,0,21.670703,15,15,6412,0.563547,1.173195,0.23391599999999999,2.688469,1.199656,1.855936,2.261073,0,0,4.4e-05,70.795987,350219.6248,3.240653,8.498218,3.7576739999999997,36.403354,5.291991,0.0,0.928351,1549634,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,32,0.0,True,True,1024*1024*20,32,YCSB,False,0,687537,0,0,52.029951000000004,31,25,77090,4.680428,8.374755,1.197654,15.968276000000001,4.090922,55.54681899999999,2.530406,0,0,9.9e-05,357.039806,266138.5267,63.66516899999999,82.003874,10.432691,142.62098799999998,53.525138,0.0,54.191961,2969439,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,32,0.25,True,True,1024*1024*20,16,YCSB,False,0,1105040,0,0,21.180286,16,15,54643,1.0939889999999999,0.816222,0.175844,3.7783949999999997,1.636895,2.673336,2.18436,0,0,5.1e-05,156.380387,156531.2409,78.194982,11.463804,2.537377,26.631101,84.963224,0.0,0.08555700000000001,1529901,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,32,0.25,True,True,1024*1024*20,32,YCSB,False,0,4591346,0,0,46.976959,32,25,383044,4.654571,5.909162,1.01813,19.790121,5.633511,9.201642,2.317966,0,0,6.6e-05,570.8276490000001,175061.9056,365.664675,45.096156,4.894163,51.635353,356.32600099999996,0.0,4.080733,3122818,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,32,0.5,True,True,1024*1024*20,16,YCSB,False,0,2429827,0,0,22.144287,16,15,161388,1.952702,1.096047,0.245497,5.913816000000001,2.2896520000000002,7.894902,2.248823,0,0,5.9999999999999995e-05,272.352499,93270.47873999999,176.80434499999998,20.15941,2.2234540000000003,23.656206,186.37858899999998,0.0,0.07946,1587653,,,,,,,,,,,,,,,,,
50000,CLV,1,True,False,True,WR,1,0,False,100000,2,SPECIFIED,1,32,0.5,True,True,1024*1024*20,32,YCSB,False,0,8827811,0,0,54.03931899999999,32,31,874420,8.127751,7.826777000000001,1.342108,32.883338,7.874621,22.314073999999998,2.460258,0,0,7.4e-05,948.9523369999999,106616.6087,715.317638,76.53820999999999,3.7599709999999997,46.573752,681.989732,0.0,2.636386,3161690,,,,,,,,,,,,,,,,,
