ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.5, 0, 0, 19510,0,0,0,0, 19510, 28.9307,820074, 0, 1.39196, 0.0166648, 0, 0, 1.93154, 16.49, 0.031084, 0, 0, 0, 0, 0, 4.0127e-05, 1482833, 0, 46
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 4, 0, 20840,0,0,0,0, 20840, 32.1901,767728, 3.6214e-05, 1.63718, 0.0410951, 0, 0, 3.046, 18.2186, 0.0362847, 0, 0, 0, 0, 0, 0.000137979, 1544580, 0, 176
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 7, 0, 17552,0,0,0,0, 17553, 26.7253,911524, 6.9828e-05, 1.42007, 0.0223011, 0, 0, 1.72483, 14.9941, 0.0336568, 0, 0, 0, 0, 0, 0.000103546, 1522549, 0, 136
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.7, 397, 0, 20159,0,0,0,0, 20164, 29.9025,793483, 0.00749088, 1.82326, 0.215184, 0, 0, 2.28663, 16.961, 0.066788, 0, 0, 0, 0, 0, 0.0743498, 1482944, 0, 1258
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.7, 375, 0, 18153,0,0,0,0, 18157, 27.0979,881201, 0.00580247, 1.61284, 0.0995768, 0, 0, 2.2965, 15.3383, 0.0648022, 0, 0, 0, 0, 0, 0.00107093, 1492417, 0, 1231
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 14875, 0, 19024,0,0,0,0, 19190, 29.3826,833832, 0.251284, 2.6441, 0.810724, 0, 0, 2.38455, 16.6276, 1.19082, 0, 0, 0, 0, 0, 0.037358, 1531258, 0, 12195
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 14950, 0, 17171,0,0,0,0, 17319, 25.7093,923903, 0.217517, 2.06854, 0.376539, 0, 0, 1.61714, 14.6963, 1.19351, 0, 0, 0, 0, 0, 0.0143998, 1484557, 0, 13259
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.9, 174134, 0, 26478,0,0,0,0, 29278, 45.2367,546667, 4.31162, 5.24821, 2.34501, 0, 0, 2.26375, 18.7513, 13.5073, 0, 0, 0, 0, 0, 0.214237, 1545591, 0, 76634
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.9, 174755, 0, 26337,0,0,0,0, 29066, 45.2586,550656, 4.2352, 5.56315, 2.7383, 0, 0, 2.28912, 18.9345, 13.5642, 0, 0, 0, 0, 0, 0.194082, 1557620, 0, 74495
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,0.15,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 511876, 0, 33675,0,0,0,0, 45033, 70.1595,355454, 17.6715, 7.61627, 4.05614, 0, 0, 1.87756, 15.8508, 39.5574, 0, 0, 0, 0, 0, 0.436859, 1558656, 0, 159670
