ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,NUM_WH,PERC_PAYMENT,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,4,0.5,,,,true,,,,,8,true,true,TPCC,false,, 6190, 2,, 10583,0,0,0,0, 10605,, 8.2056,748627, 0.0165214, 1.2996, 0.258401, 0.233868, 2.29739, 0.633854, 4.73137, 0.194862, 0.128921, 0.50693, 0.0902849, 0.261201, 0, 0.009007, 767867, 3892, 20819
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,4,0.5,,,,true,,,,,16,true,true,TPCC,false,, 24929, 4,, 12606,0,0,0,0, 12708,, 19.3966,1.25082e+06, 0.1545, 4.0756, 1.54466, 0.613766, 4.42671, 0.999918, 11.0107, 1.37621, 0.370912, 1.25487, 0.231418, 0.671391, 0, 0.084683, 1516351, 7542, 145686
50000,4,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,4,0.5,,,,true,,,,,16,true,true,TPCC,false,, 21588, 4,, 13253,0,0,0,0, 13350,, 20.1962,1.19051e+06, 0.146949, 4.41547, 1.86822, 0.602024, 4.90865, 1.23584, 11.8438, 1.12951, 0.373516, 1.25653, 0.230802, 0.649825, 0, 0.0864264, 1502732, 7447, 146678
50000,12,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,4,0.5,,,,true,,,,,16,true,true,TPCC,false,, 26338, 4,, 12691,0,0,0,0, 12797,, 19.8895,1.24198e+06, 0.16357, 4.14585, 1.58743, 0.606745, 4.60007, 1.19997, 11.3011, 1.46884, 0.387537, 1.24755, 0.237102, 0.658349, 0, 0.0849256, 1543896, 7804, 146733
50000,0,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,4,0.5,,,,true,,,,,32,true,true,TPCC,false,, 88363, 8,, 23573,0,0,0,0, 24036,, 71.2722,1.32397e+06, 1.36703, 23.3174, 15.3565, 1.89911, 11.1714, 2.89038, 44.156, 5.89973, 1.38967, 4.34906, 0.941041, 2.03848, 0, 1.08018, 2948830, 14920, 690211
50000,4,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,4,0.5,,,,true,,,,,32,true,true,TPCC,false,, 100334, 8,, 23693,0,0,0,0, 24239,, 74.2291,1.31296e+06, 1.666, 23.4679, 15.2963, 1.96673, 10.9738, 2.97744, 44.5364, 6.80359, 1.48726, 4.36885, 1.01544, 2.03715, 0, 1.20957, 3045626, 15443, 686385
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,4,0.5,,,,true,,,,,32,true,true,TPCC,false,, 85754, 8,, 22873,0,0,0,0, 23317,, 67.5796,1.36489e+06, 1.28421, 21.1447, 12.9731, 1.98849, 10.9814, 2.82991, 40.701, 5.75338, 1.42696, 4.52502, 0.926106, 2.11636, 0, 1.20302, 2882468, 14348, 732105
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,8,0.5,,,,true,,,,,1,true,true,TPCC,false,, 524, 0,, 6623,0,0,0,0, 6623,, 0.667439,149826, 0, 0.0638406, 0.0010782, 0.0193395, 0.140866, 0.0876591, 0.340422, 0.00197942, 0.0205148, 0.0156364, 0, 0, 0, 0, 100000, 524, 0
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,8,0.5,,,,true,,,,,2,true,true,TPCC,false,, 1009, 1,, 8676,0,0,0,0, 8676,, 1.71833,228610, 0, 0.219863, 0.00210795, 0.0396894, 0.492811, 0.157187, 0.950082, 0.00392478, 0.0256064, 0.105467, 0.0210678, 0.0592304, 0, 0, 196413, 1009, 0
50000,16,true,BAMBOO,false,false,true,true,true,true,,,,,,LH_MCSLOCK,100000,,8,0.5,,,,true,,,,,4,true,true,TPCC,false,, 1894, 1,, 8990,0,0,0,0, 8990,, 3.51762,441439, 0, 0.443246, 0.00418, 0.0786068, 1.06478, 0.346521, 1.97735, 0.00773345, 0.049978, 0.213973, 0.0413151, 0.116888, 0, 0, 388204, 1894, 0
