ABORT_PENALTY,BB_OPT_RAW,CC_ALG,COMMUTATIVE_OPS,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,4,0.5,true,8,true,TPCC,false, 8864, 10023,0,0,0,0, 10097, 7.61063,786476, 0.0554014, 0.970693, 0.223972, 0.227739, 2.24081, 0.499478, 4.14699, 0.42705, 0.139453, 0.391398, 0.0972416, 0.179317, 0, 0.00529988, 748197, 3613, 9775
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,8,0.5,true,8,true,TPCC,false, 3824, 8092,0,0,0,0, 8092, 6.16539,980813, 7.2908e-05, 0.5917, 0.00819233, 0.146644, 1.82556, 0.436388, 3.16494, 0.0173898, 0.106057, 0.279257, 0.088611, 0.155041, 0, 3.381e-06, 755887, 3818, 4
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,1,0.5,true,16,true,TPCC,false, 58948, 41993,0,0,0,0, 43054, 66.0637,369901, 1.63094, 21.3954, 12.4445, 2.04553, 10.94, 0.895664, 35.9996, 4.03712, 0.92065, 7.49413, 0.490357, 2.77287, 0, 16.0256, 1527313, 7567, 1235664
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,2,0.5,true,16,true,TPCC,false, 44833, 16306,0,0,0,0, 16591, 25.1088,958914, 0.431201, 6.94958, 3.81459, 0.950981, 5.2342, 0.930568, 14.9476, 2.92059, 0.621201, 2.00836, 0.312154, 0.785423, 0, 0.688279, 1504825, 7537, 332492
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,4,0.5,true,16,true,TPCC,false, 30915, 12216,0,0,0,0, 12368, 18.593,1.28473e+06, 0.228036, 3.44481, 1.46305, 0.599768, 4.3967, 0.972504, 9.98935, 1.83723, 0.406477, 1.10896, 0.228764, 0.466969, 0, 0.0755473, 1492937, 7670, 86220
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,8,0.5,true,16,true,TPCC,false, 27152, 11319,0,0,0,0, 11489, 17.2788,1.38213e+06, 0.25507, 2.03806, 0.48017, 0.466234, 4.7462, 1.0457, 8.82909, 1.55544, 0.303301, 0.801728, 0.207401, 0.34887, 0, 0.00776783, 1492595, 7578, 13001
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,1,0.5,true,32,true,TPCC,false, 134626, 117922,0,0,0,0, 121373, 377.675,262527, 10.756, 98.2422, 69.9889, 7.14082, 31.6843, 2.02585, 140.336, 9.44103, 2.29679, 24.7899, 1.41759, 8.71058, 0, 195.178, 3098435, 15560, 3259434
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,2,0.5,true,32,true,TPCC,false, 128216, 44243,0,0,0,0, 45749, 130.858,696357, 4.30076, 44.0291, 27.9052, 4.51048, 19.697, 2.17318, 72.2321, 9.05076, 1.95143, 13.0244, 1.11412, 4.54534, 0, 27.8235, 2847633, 14172, 2266692
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,4,0.5,true,32,true,TPCC,false, 94189, 23190,0,0,0,0, 23603, 72.7666,1.34813e+06, 1.27043, 21.8719, 14.4231, 2.95475, 12.3746, 3.10646, 44.921, 6.31648, 1.60534, 4.57024, 0.965327, 1.74785, 0, 1.65765, 3065579, 15324, 656545
50000,false,BAMBOO,false,true,true,true,LH_SPINLOCK,100000,8,0.5,true,32,true,TPCC,false, 76652, 19520,0,0,0,0, 19892, 58.9651,1.59806e+06, 1.10177, 10.5695, 5.22665, 1.95082, 11.6962, 4.16393, 32.0449, 4.91729, 1.196, 2.9945, 0.747294, 1.22135, 0, 0.344193, 2944676, 14847, 215256
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,1,0.5,true,1,false,TPCC,false, 0, 4996,0,0,0,0, 4996, 0.499689,200125, 0, 0.0584041, 0.00105641, 0.0189332, 0.116677, 0.047248, 0.282987, 0.00194085, 0.0159802, 0.0143207, 0, 0, 0, 0, 100000, 0, 0
50000,false,BAMBOO,true,true,true,true,LH_SPINLOCK,100000,2,0.5,true,1,false,TPCC,false, 0, 5956,0,0,0,0, 5956, 0.595673,167877, 0, 0.0617163, 0.00110653, 0.0197685, 0.150625, 0.0587626, 0.340409, 0.00201403, 0.0165363, 0.0151996, 0, 0, 0, 0, 100000, 0, 0
