ABORT_PENALTY,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,8,0.5,true,1,true,TPCC,false, 524,0,0,0,0, 7106, 0.715337,139794, 0, 0.06513, 0, 0, 0, 0.0713646, 0.247332, 0.0011507, 0, 0, 0, 0, 0, 0, 100000, 524, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,16,0.5,true,1,true,TPCC,false, 522,0,0,0,0, 8858, 0.892398,112058, 0, 0.0666124, 0, 0, 0, 0.128466, 0.291719, 0.00118579, 0, 0, 0, 0, 0, 0, 100000, 522, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,32,0.5,true,1,true,TPCC,false, 510,0,0,0,0, 10003, 1.00754,99251.3, 0, 0.0649439, 0, 0, 0, 0.125257, 0.227457, 0.00117306, 0, 0, 0, 0, 0, 0, 100000, 510, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,1,0.5,true,2,true,TPCC,false, 11313,0,0,0,0, 7661, 1.76873,223498, 0.248079, 0.131439, 0, 0, 0, 0.0606074, 0.313396, 0.796411, 0, 0, 0, 0, 0, 0, 197654, 976, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,2,0.5,true,2,true,TPCC,false, 988,0,0,0,0, 5474, 1.09857,362830, 0.00020349, 0.116238, 0, 0, 0, 0.0638025, 0.369159, 0.00394219, 0, 0, 0, 0, 0, 0, 199297, 970, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,4,0.5,true,2,true,TPCC,false, 949,0,0,0,0, 5245, 1.04749,378833, 3.8855e-05, 0.11326, 0, 0, 0, 0.0618839, 0.31636, 0.00255581, 0, 0, 0, 0, 0, 0, 198412, 945, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,8,0.5,true,2,true,TPCC,false, 967,0,0,0,0, 6163, 1.19109,322327, 0, 0.117786, 0, 0, 0, 0.081436, 0.365148, 0.00233179, 0, 0, 0, 0, 0, 0, 191961, 967, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,16,0.5,true,2,true,TPCC,false, 954,0,0,0,0, 8409, 1.63519,236166, 4.4858e-05, 0.119119, 0, 0, 0, 0.148157, 0.46595, 0.00240782, 0, 0, 0, 0, 0, 0, 193088, 952, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,32,0.5,true,2,true,TPCC,false, 854,0,0,0,0, 10217, 1.78989,194420, 0, 0.115373, 0, 0, 0, 0.379659, 0.483394, 0.00212766, 0, 0, 0, 0, 0, 0, 173995, 854, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,1,0.5,true,4,true,TPCC,false, 55961,0,0,0,0, 11837, 6.10179,258772, 1.41629, 0.294612, 0, 0, 0, 0.115585, 0.532952, 4.14625, 0, 0, 0, 0, 0, 0, 394743, 2067, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,2,0.5,true,4,true,TPCC,false, 24013,0,0,0,0, 8445, 3.8067,407678, 0.516367, 0.255796, 0, 0, 0, 0.120116, 0.589761, 1.7046, 0, 0, 0, 0, 0, 0, 387977, 1898, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,4,0.5,true,4,true,TPCC,false, 1919,0,0,0,0, 6121, 2.34579,648908, 0.000480585, 0.223438, 0, 0, 0, 0.13934, 0.750617, 0.00769322, 0, 0, 0, 0, 0, 0, 380550, 1880, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,8,0.5,true,4,true,TPCC,false, 1855,0,0,0,0, 6175, 2.32135,643324, 0.000109801, 0.222203, 0, 0, 0, 0.136682, 0.724847, 0.00532221, 0, 0, 0, 0, 0, 0, 373346, 1845, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,16,0.5,true,4,true,TPCC,false, 1795,0,0,0,0, 9389, 3.35316,422870, 8.5241e-05, 0.231273, 0, 0, 0, 0.406171, 1.06417, 0.00493243, 0, 0, 0, 0, 0, 0, 354487, 1790, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,32,0.5,true,4,true,TPCC,false, 1669,0,0,0,0, 9582, 3.28824,414482, 6.5854e-05, 0.214788, 0, 0, 0, 0.732423, 0.889452, 0.00446007, 0, 0, 0, 0, 0, 0, 340729, 1666, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,1,0.5,true,8,true,TPCC,false, 228972,0,0,0,0, 19357, 21.8109,288764, 6.5455, 0.676004, 0, 0, 0, 0.207174, 1.14847, 17.3113, 0, 0, 0, 0, 0, 0, 787275, 3946, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,2,0.5,true,8,true,TPCC,false, 124177,0,0,0,0, 14181, 13.8327,438297, 3.05575, 0.579025, 0, 0, 0, 0.220932, 1.29126, 9.26163, 0, 0, 0, 0, 0, 0, 757853, 3847, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,4,0.5,true,8,true,TPCC,false, 52303,0,0,0,0, 9584, 8.45431,719112, 1.13921, 0.513145, 0, 0, 0, 0.240673, 1.35837, 3.74065, 0, 0, 0, 0, 0, 0, 759950, 3882, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,8,0.5,true,8,true,TPCC,false, 3752,0,0,0,0, 6526, 4.92272,1.21729e+06, 0.000619546, 0.442156, 0, 0, 0, 0.31365, 1.57549, 0.0130094, 0, 0, 0, 0, 0, 0, 749049, 3706, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,16,0.5,true,8,true,TPCC,false, 3426,0,0,0,0, 9135, 6.28047,869582, 0.000402285, 0.482726, 0, 0, 0, 0.867581, 2.31111, 0.0111599, 0, 0, 0, 0, 0, 0, 682673, 3401, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,32,0.5,true,8,true,TPCC,false, 3460,0,0,0,0, 10700, 7.31251,742090, 0.000170266, 0.510836, 0, 0, 0, 1.27438, 2.59958, 0.0104884, 0, 0, 0, 0, 0, 0, 678318, 3451, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,1,0.5,true,16,true,TPCC,false, 806343,0,0,0,0, 28691, 72.6354,334543, 29.0063, 1.57482, 0, 0, 0, 0.396665, 2.15051, 61.7585, 0, 0, 0, 0, 0, 0, 1518728, 7509, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,2,0.5,true,16,true,TPCC,false, 526354,0,0,0,0, 23228, 52.036,474353, 16.1282, 1.41268, 0, 0, 0, 0.465258, 2.58618, 40.1343, 0, 0, 0, 0, 0, 0, 1542716, 7762, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,4,0.5,true,16,true,TPCC,false, 265837,0,0,0,0, 15516, 30.0096,792852, 6.87305, 1.19479, 0, 0, 0, 0.441986, 2.64633, 19.9191, 0, 0, 0, 0, 0, 0, 1487072, 7475, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,8,0.5,true,16,true,TPCC,false, 108796,0,0,0,0, 10534, 18.0165,1.31095e+06, 2.39542, 1.00689, 0, 0, 0, 0.559605, 2.83512, 7.82972, 0, 0, 0, 0, 0, 0, 1476177, 7368, 0
50000,false,SILO,false,true,true,LH_SPINLOCK,100000,16,0.5,true,16,true,TPCC,false, 6180,0,0,0,0, 9264, 11.1374,1.71375e+06, 0.00212494, 0.783946, 0, 0, 0, 1.12633, 3.76656, 0.0225899, 0, 0, 0, 0, 0, 0, 1192919, 6093, 0
