cycle_detect,cascading_abort_times,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
0, 0, 0.0803215, 0,100000,false, 3452,0, 0, 0.992878,0,LH_MCSLOCK,50000,IC3,8, 21441, 0.6106,TPCC, 340868, 0.824536,false, 0.0247517,0,false,true,true,4,true,0, 0, 0, 7.33271,0, 0, 0.00677494, 0, 0, 21441, 3452, 0.00256204, 0,true,true,185944, 0, 0
0, 0, 0.0285067, 0,100000,false, 1671,0.5, 0, 0.449512,0,LH_MCSLOCK,50000,IC3,8, 13321, 0.367258,TPCC, 342950, 0.483286,false, 0.0188681,0,false,true,true,4,true,0, 0, 0, 4.57995,0, 0, 0.00684804, 0, 0, 13321, 1671, 0.00276764, 0,true,true,299523, 0, 0
0, 0, 6.0499e-05, 0,100000,false, 0,1, 0, 0.0474409,0,LH_MCSLOCK,50000,IC3,8, 4638, 0.143775,TPCC, 371370, 0.167883,false, 0.0126756,0,false,true,true,4,true,0, 0, 0, 1.72244,0, 0, 0.00737029, 0, 0, 4638, 0, 0.00367705, 0,true,true,862428, 0, 0
0, 0, 0.058403, 0,100000,false, 3309,0, 0, 0.848775,0,LH_MCSLOCK,50000,IC3,16, 20596, 0.588798,TPCC, 331230, 0.794165,false, 0.0241435,0,false,true,true,4,true,0, 0, 0, 6.84448,0, 0, 0.00653162, 0, 0, 20596, 3309, 0.00251182, 0,true,true,193575, 0, 0
0, 0, 0.0324905, 0,100000,false, 1872,0.5, 0, 0.663608,0,LH_MCSLOCK,50000,IC3,16, 13475, 0.392783,TPCC, 377556, 0.530677,false, 0.0203844,0,false,true,true,4,true,0, 0, 0, 5.10099,0, 0, 0.00734332, 0, 0, 13475, 1872, 0.00299511, 0,true,true,296065, 0, 0
0, 0, 1.7331e-05, 0,100000,false, 0,1, 0, 0.0677663,0,LH_MCSLOCK,50000,IC3,16, 4307, 0.152654,TPCC, 379366, 0.164363,false, 0.0124257,0,false,true,true,4,true,0, 0, 0, 1.634,0, 0, 0.00776568, 0, 0, 4307, 0, 0.00342429, 0,true,true,928683, 0, 0
0, 0, 2.96238, 0,100000,false, 7838,0, 0, 1.20847,0,LH_MCSLOCK,50000,IC3,1, 19601, 1.93001,TPCC, 763311, 0.885175,false, 1.63537,0,false,true,true,8,true,0, 0, 0, 15.0174,0, 0, 0.316642, 0, 0, 19498, 11680, 0.00918872, 0,true,true,406626, 0, 0
0, 0, 1.3056, 0,100000,false, 3949,0.5, 0, 0.764412,0,LH_MCSLOCK,50000,IC3,1, 14462, 1.47912,TPCC, 779614, 0.406727,false, 1.45331,0,false,true,true,8,true,0, 0, 0, 11.3058,0, 0, 0.114114, 0, 0, 14428, 5212, 0.0934763, 0,true,true,551655, 0, 0
0, 0, 0.334376, 0,100000,false, 0,1, 0, 0.0650948,0,LH_MCSLOCK,50000,IC3,1, 19781, 1.60405,TPCC, 797517, -8.33253,false, 10.0119,0,false,true,true,8,true,0, 0, 0, 15.7762,0, 0, 0.0159354, 0, 0, 19781, 0, 0.476711, 0,true,true,404415, 0, 0
0, 0, 1.87188, 0,100000,false, 7546,0, 0, 1.5373,0,LH_MCSLOCK,50000,IC3,2, 21283, 1.76614,TPCC, 756497, 1.48628,false, 0.972316,0,false,true,true,8,true,0, 0, 0, 16.1587,0, 0, 0.0997613, 0, 0, 21250, 8620, 0.00694818, 0,true,true,374533, 0, 0
0, 0, 0.656244, 0,100000,false, 3857,0.5, 0, 0.783732,0,LH_MCSLOCK,50000,IC3,2, 12575, 1.11723,TPCC, 774096, 0.886584,false, 0.586754,0,false,true,true,8,true,0, 0, 0, 9.7615,0, 0, 0.0462384, 0, 0, 12565, 4259, 0.031712, 0,true,true,634407, 0, 0
0, 0, 0.131411, 0,100000,false, 0,1, 0, 0.0618929,0,LH_MCSLOCK,50000,IC3,2, 9834, 1.08971,TPCC, 786497, -1.87754,false, 3.01851,0,false,true,true,8,true,0, 0, 0, 7.73443,0, 0, 0.0186874, 0, 0, 9834, 0, 0.200723, 0,true,true,813502, 0, 0
0, 0, 0.643229, 0,100000,false, 7433,0, 0, 1.33925,0,LH_MCSLOCK,50000,IC3,4, 16935, 1.4372,TPCC, 722948, 1.45075,false, 0.265072,0,false,true,true,8,true,0, 0, 0, 12.2889,0, 0, 0.0356329, 0, 0, 16929, 7693, 0.00571844, 0,true,true,470636, 0, 0
0, 0, 0.417362, 0,100000,false, 3910,0.5, 0, 0.827492,0,LH_MCSLOCK,50000,IC3,4, 12563, 0.994241,TPCC, 776836, 0.932377,false, 0.276576,0,false,true,true,8,true,0, 0, 0, 9.78693,0, 0, 0.0257775, 0, 0, 12560, 4047, 0.0175455, 0,true,true,634999, 0, 0
0, 0, 0.0169027, 0,100000,false, 0,1, 0, 0.0736702,0,LH_MCSLOCK,50000,IC3,4, 5929, 0.660564,TPCC, 768906, 0.111398,false, 0.597487,0,false,true,true,8,true,0, 0, 0, 4.55909,0, 0, 0.0197542, 0, 0, 5929, 0, 0.0857512, 0,true,true,1.34923e+06, 0, 0
0, 0, 0.235977, 0,100000,false, 6618,0, 0, 1.96377,0,LH_MCSLOCK,50000,IC3,8, 25700, 1.44208,TPCC, 668230, 2.04944,false, 0.0685439,0,false,true,true,8,true,0, 0, 0, 17.2286,0, 0, 0.0172873, 0, 0, 25700, 6618, 0.00555777, 0,true,true,310289, 0, 0
