ABORT_PENALTY,CC_ALG,CLV_RETIRE_ON,DEBUG_PROFILING,DEBUG_TMP,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug10,debug11,debug2,debug3,debug4,debug5,debug6,debug7,debug8,debug9,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.5,true,true,1024*1024*20,32,YCSB,false,0,14,0,0,20.769998,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.796823,0.000000,0.000000,-nan,0.000000,0.000000,0.000316,1012.415440,101138.022969,0.009937,4.551405,9.464603,42.802473,0.028865,0.354974,941.059621,3199803
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.75,true,true,1024*1024*20,16,YCSB,false,0,7,0,0,10.508982,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.218232,0.000000,0.000000,-nan,0.000000,0.000000,0.000282,451.441829,56705.494167,0.006054,2.078636,6.901382,22.534753,0.015211,0.198654,411.906594,1599952
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.75,true,true,1024*1024*20,32,YCSB,false,0,8,0,0,20.406187,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,2.305712,0.000000,0.000000,-nan,0.000000,0.000000,0.000506,1619.398284,63231.090840,0.003334,3.959020,11.046160,42.901052,0.027519,0.367183,1546.457628,3199885
50000,WOUND_WAIT,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,1,true,true,1024*1024*20,16,YCSB,false,0,3,0,0,10.450575,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.781033,0.000000,0.000000,-nan,0.000000,0.000000,0.000361,577.831393,44303.387271,0.000068,1.650606,6.439362,20.774599,0.017834,0.188889,541.072708,1599993
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0,true,true,1024*1024*20,16,YCSB,false,0,183931,0,0,14.067507,14.000000,13.000000,20029.000000,1.115374,2.306467,0.418781,3.565610,1.175975,7.000748,2.344550,0.000000,0.000000,0.000041,71.803006,349434.284860,7.748734,13.268600,3.223118,31.291683,14.167647,0.000000,4.599933,1568152
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0,true,true,1024*1024*20,32,YCSB,false,0,1026231,0,0,48.941899,31.000000,20.000000,118541.000000,8.958521,14.435610,1.971041,23.254162,4.886399,195.101084,2.508845,0.000000,0.000000,0.000143,542.113698,186049.591369,90.779705,226.376094,9.860882,274.272193,79.444668,0.000000,77.120190,3151876
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.25,true,true,1024*1024*20,16,YCSB,false,0,627385,0,0,11.958047,16.000000,14.000000,45528.000000,1.090031,1.533933,0.336962,3.147633,1.102383,2.590841,2.361492,0.000000,0.000000,0.000039,95.402533,244814.295289,38.240564,8.379453,2.281608,18.663176,48.345778,0.000000,0.855856,1459744
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.25,true,true,1024*1024*20,32,YCSB,false,0,2143151,0,0,51.364218,32.000000,30.000000,244978.000000,9.063011,16.455155,2.416310,31.517815,5.746070,116.819139,2.611014,0.000000,0.000000,0.000120,591.850496,168150.897328,217.454551,157.703995,4.099247,174.637249,166.084812,0.000000,80.251854,3110006
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.5,true,true,1024*1024*20,16,YCSB,false,0,1679199,0,0,11.812968,16.000000,15.000000,106077.000000,1.788166,1.643763,0.537332,3.782722,1.468721,4.942825,2.269710,0.000000,0.000000,0.000045,181.953920,139062.725009,110.108590,12.073881,2.083532,15.388220,128.898345,0.000000,0.127509,1581438
50000,CLV,1,true,false,true,WR,1,0,false,100000,2,SPECIFIED,1,16,0.5,true,true,1024*1024*20,32,YCSB,false,0,5943420,0,0,31.935300,32.000000,29.000000,536867.000000,5.627397,8.415148,2.051603,20.352222,4.908318,14.575936,2.374726,0.000000,0.000000,0.000060,617.236424,159117.712829,434.274163,44.732881,2.637103,31.155959,457.204246,0.000000,3.715355,3069164
