ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,8,YCSB,false,0.99, 141553, 29681,0,0,0,0, 34768, 26.9534,230110, 3.94214, 3.29081, 1.72635, 0, 0, 1.45458, 9.26548, 10.9633, 0, 0, 0, 0, 0, 0.0152548, 775281, 0, 27993
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,8,YCSB,false,0.5, 39, 26326,0,0,0,0, 26327, 20.4629,303859, 0.00105463, 0.863494, 0.0107495, 0, 0, 2.0431, 12.2322, 0.0231528, 0, 0, 0, 0, 0, 5.036e-06, 777231, 0, 5
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,8,YCSB,false,0.7, 1881, 27678,0,0,0,0, 27726, 21.0789,288537, 0.0360077, 0.97379, 0.0744211, 0, 0, 2.50533, 12.8542, 0.167882, 0, 0, 0, 0, 0, 9.374e-05, 760255, 0, 103
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,8,YCSB,false,0.9, 79105, 28857,0,0,0,0, 31767, 24.7493,251837, 2.26653, 2.23526, 0.961987, 0, 0, 1.95412, 11.2616, 6.1379, 0, 0, 0, 0, 0, 0.00448021, 779098, 0, 6969
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,8,YCSB,false,0.99, 198890, 33796,0,0,0,0, 43100, 34.1249,185630, 7.36374, 3.23621, 1.46913, 0, 0, 1.66133, 10.7884, 15.4135, 0, 0, 0, 0, 0, 0.0148832, 791823, 0, 20829
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,YCSB,false,0.5, 0, 19898,0,0,0,0, 19898, 30.7133,804064, 0, 1.47868, 0.0266626, 0, 0, 2.3144, 17.0897, 0.0341435, 0, 0, 0, 0, 0, 1.6066e-05, 1543466, 0, 21
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,YCSB,false,0.7, 385, 25920,0,0,0,0, 25925, 39.3399,617146, 0.00786138, 3.30849, 1.4854, 0, 0, 4.10843, 23.9723, 0.0723613, 0, 0, 0, 0, 0, 0.00477912, 1517403, 0, 933
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,YCSB,false,0.9, 170098, 23091,0,0,0,0, 25479, 39.5837,627985, 3.70751, 4.19257, 1.64669, 0, 0, 1.71746, 15.2336, 13.1675, 0, 0, 0, 0, 0, 0.0392365, 1553623, 0, 59314
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,YCSB,false,0.99, 530686, 34592,0,0,0,0, 46301, 73.0875,345592, 18.478, 8.14848, 4.47989, 0, 0, 1.99285, 17.1985, 40.9645, 0, 0, 0, 0, 0, 0.0734017, 1578654, 0, 120328
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,YCSB,false,0.5, 198, 19470,0,0,0,0, 19472, 29.961,821682, 0.00266124, 1.48341, 0.0195178, 0, 0, 2.36352, 16.6218, 0.0507653, 0, 0, 0, 0, 0, 6.704e-06, 1538650, 0, 8
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,YCSB,false,0.7, 8281, 20915,0,0,0,0, 21005, 32.4807,761712, 0.138251, 1.71958, 0.0521694, 0, 0, 2.60284, 18.6562, 0.684141, 0, 0, 0, 0, 0, 0.000395746, 1546309, 0, 559
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,YCSB,false,0.9, 284086, 26347,0,0,0,0, 32337, 50.8612,494824, 9.41784, 4.16844, 1.5594, 0, 0, 2.07118, 16.1853, 21.9606, 0, 0, 0, 0, 0, 0.0202764, 1572961, 0, 36840
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,16,YCSB,false,0.99, 663285, 35004,0,0,0,0, 53110, 84.2135,301294, 28.7021, 7.43623, 3.76679, 0, 0, 2.00939, 17.1791, 51.1917, 0, 0, 0, 0, 0, 0.0842297, 1585814, 0, 89952
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,32,YCSB,false,0.5, 3, 24601,0,0,0,0, 24601, 75.2877,1.30076e+06, 4.6586e-05, 3.76801, 0.064354, 0, 0, 8.40394, 43.2322, 0.0732714, 0, 0, 0, 0, 0, 0.000151836, 3060347, 0, 132
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,32,YCSB,false,0.7, 2878, 18598,0,0,0,0, 18613, 56.7944,1.71919e+06, 0.0446136, 4.73653, 0.798211, 0, 0, 5.32368, 29.3147, 0.299481, 0, 0, 0, 0, 0, 0.00356738, 3051263, 0, 4986
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,32,YCSB,false,0.9, 785091, 39515,0,0,0,0, 49596, 154.622,645277, 31.4152, 25.8383, 16.9613, 0, 0, 5.61675, 54.2876, 61.3877, 0, 0, 0, 0, 0, 0.365624, 3117936, 0, 326913
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,32,YCSB,false,0.99, 2082560, 47028,0,0,0,0, 78206, 248.397,409236, 99.0039, 30.3263, 19.0317, 0, 0, 3.05058, 42.5572, 161.203, 0, 0, 0, 0, 0, 0.341642, 3176653, 0, 625201
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,32,YCSB,false,0.5, 762, 18352,0,0,0,0, 18355, 56.4398,1.74334e+06, 0.00974653, 3.68562, 0.0371813, 0, 0, 4.81295, 29.396, 0.128266, 0, 0, 0, 0, 0, 3.4631e-05, 3074806, 0, 51
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,32,YCSB,false,0.7, 34191, 22613,0,0,0,0, 22831, 71.4399,1.40156e+06, 0.683127, 4.17732, 0.187875, 0, 0, 6.11771, 40.0397, 2.7587, 0, 0, 0, 0, 0, 0.00240128, 3128970, 0, 3060
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,32,YCSB,false,0.9, 1036492, 31453,0,0,0,0, 46161, 146.185,693328, 46.5626, 11.0253, 4.15591, 0, 0, 3.2874, 34.1294, 80.7155, 0, 0, 0, 0, 0, 0.0884317, 3167318, 0, 183990
50000,0,true,BAMBOO,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,32,YCSB,false,0.99, 2170371, 39625,0,0,0,0, 73040, 231.39,438207, 105.831, 15.7094, 6.0559, 0, 0, 2.47838, 28.1922, 168.099, 0, 0, 0, 0, 0, 0.238862, 3168653, 0, 494039
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,1,YCSB,false,0.5, 0, 19776,0,0,0,0, 19776, 1.97769,50564.1, 0, 0.0386707, 0.00153631, 0, 0, 0.331748, 1.10651, 0.00306251, 0, 0, 0, 0, 0, 0, 100000, 0, 0
50000,0,true,BAMBOO,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,false,10000000,1,YCSB,false,0.7, 0, 18266,0,0,0,0, 18266, 1.82663,54745.7, 0, 0.0382814, 0.0015356, 0, 0, 0.309724, 1.01288, 0.00305958, 0, 0, 0, 0, 0, 0, 100000, 0, 0
