ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,TPCC,false, 43618, 8, 16058,0,0,0,0, 16347, 24.9306,973311, 0.439409, 7.01458, 4.0915, 0, 0, 0.992322, 14.9735, 2.81269, 0, 0, 0, 0, 0, 0.45003, 1516576, 7646, 414556
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,4,0.5,true,16,true,TPCC,false, 23406, 4, 11786,0,0,0,0, 11876, 18.1434,1.33822e+06, 0.137545, 3.5395, 1.53054, 0, 0, 1.27637, 10.2015, 1.25288, 0, 0, 0, 0, 0, 0.087076, 1517491, 7637, 154408
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,4,0.5,true,16,true,TPCC,false, 23511, 4, 12261,0,0,0,0, 12358, 18.6261,1.28619e+06, 0.145141, 3.59988, 1.5938, 0, 0, 1.07337, 10.4996, 1.2731, 0, 0, 0, 0, 0, 0.0844387, 1497296, 7476, 150362
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,8,0.5,true,16,true,TPCC,false, 13851, 2, 10412,0,0,0,0, 10438, 15.7057,1.52173e+06, 0.0377432, 1.99875, 0.435642, 0, 0, 1.36954, 8.15484, 0.518835, 0, 0, 0, 0, 0, 0.0157104, 1493745, 7568, 36349
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,8,0.5,true,16,true,TPCC,false, 13911, 2, 10275,0,0,0,0, 10301, 15.4911,1.54185e+06, 0.0392289, 2.02308, 0.427641, 0, 0, 1.09319, 8.20977, 0.523507, 0, 0, 0, 0, 0, 0.0166369, 1492810, 7601, 39685
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,TPCC,false, 7172, 2, 13585,0,0,0,0, 13585, 19.5979,1.16824e+06, 6.1295e-05, 1.54408, 0.0190807, 0, 0, 2.38333, 10.5264, 0.0362003, 0, 0, 0, 0, 0, 7.698e-06, 1430942, 7171, 9
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,TPCC,false, 6871, 1, 12268,0,0,0,0, 12268, 16.6673,1.29374e+06, 0, 1.35218, 0.0164027, 0, 0, 1.64805, 8.8618, 0.0312017, 0, 0, 0, 0, 0, 3.557e-06, 1347691, 6871, 3
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,TPCC,false, 82947, 16, 25994,0,0,0,0, 26956, 43.005,590878, 1.53226, 15.9353, 11.0444, 0, 0, 1.05942, 25.2635, 5.83221, 0, 0, 0, 0, 0, 3.15213, 1588170, 8105, 994895
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,TPCC,false, 71439, 16, 31198,0,0,0,0, 32118, 51.3385,495956, 1.46976, 19.5307, 12.9817, 0, 0, 0.935364, 31.0049, 4.95413, 0, 0, 0, 0, 0, 5.96373, 1591353, 7920, 1164179
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,TPCC,false, 41980, 8, 16065,0,0,0,0, 16354, 24.4998,972886, 0.432382, 6.96569, 4.07538, 0, 0, 1.12482, 14.7065, 2.68907, 0, 0, 0, 0, 0, 0.448961, 1489720, 7529, 407768
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,TPCC,false, 43884, 8, 16203,0,0,0,0, 16494, 25.3187,964577, 0.445433, 7.18021, 4.24979, 0, 0, 1.00758, 15.2168, 2.82756, 0, 0, 0, 0, 0, 0.442879, 1526365, 7669, 412067
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,4,0.5,true,16,true,TPCC,false, 22042, 4, 12592,0,0,0,0, 12685, 19.1211,1.25294e+06, 0.140318, 3.84301, 1.71497, 0, 0, 1.27304, 10.915, 1.16553, 0, 0, 0, 0, 0, 0.095045, 1497349, 7430, 154788
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,4,0.5,true,16,true,TPCC,false, 22231, 4, 12043,0,0,0,0, 12136, 18.2758,1.30967e+06, 0.139641, 3.63159, 1.61598, 0, 0, 1.04575, 10.4984, 1.17626, 0, 0, 0, 0, 0, 0.0863549, 1495954, 7467, 152876
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,8,0.5,true,16,true,TPCC,false, 13544, 2, 10046,0,0,0,0, 10068, 15.3414,1.57755e+06, 0.0344876, 1.96062, 0.423297, 0, 0, 1.3137, 7.94685, 0.493116, 0, 0, 0, 0, 0, 0.0150326, 1512611, 7585, 37112
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,8,0.5,true,16,true,TPCC,false, 13137, 2, 9430,0,0,0,0, 9450, 14.3249,1.68031e+06, 0.0310603, 1.89638, 0.399316, 0, 0, 0.969503, 7.46113, 0.449097, 0, 0, 0, 0, 0, 0.0157869, 1504388, 7750, 39610
50000,0,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,TPCC,false, 7219, 2, 9304,0,0,0,0, 9304, 13.3871,1.70597e+06, 4.5534e-05, 1.16954, 0.0156167, 0, 0, 1.46646, 6.48859, 0.0289497, 0, 0, 0, 0, 0, 8.469e-06, 1427374, 7217, 10
50000,12,true,BAMBOO,false,false,true,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,TPCC,false, 7172, 2, 8938,0,0,0,0, 8938, 12.8749,1.77584e+06, 1.392e-05, 1.17346, 0.0154654, 0, 0, 1.30741, 6.44576, 0.0287569, 0, 0, 0, 0, 0, 3.818e-06, 1428978, 7171, 6
