ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LAST_RETIRE,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,WAIT_DIE,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.5, 609, 0, 0, 17081,0,0,0,0, 17085, 0, 26.0934,936494, 0.00546713, 0.944035, 0, 0, 0, 1.92908, 14.1863, 0.255895, 0, 0, 0, 0, 160355156, 0.00216336, 1527268, 0, 265
50000,0,true,WAIT_DIE,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 3157, 0, 0, 16983,0,0,0,0, 16999, 0, 26.0127,941230, 0.0242146, 0.955424, 0, 0, 0, 1.81224, 14.2871, 0.450159, 0, 0, 0, 0, 152934891, 0.0125815, 1530245, 0, 1600
50000,0,true,WAIT_DIE,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.7, 26671, 0, 0, 19625,0,0,0,0, 19787, 0, 30.9746,808647, 0.251132, 1.08488, 0, 0, 0, 2.23391, 16.6291, 2.31033, 0, 0, 0, 0, 187441849, 0.120539, 1565468, 0, 13459
50000,0,true,WAIT_DIE,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 177036, 0, 0, 24091,0,0,0,0, 25794, 0, 40.123,620467, 2.63823, 1.33082, 0, 0, 0, 2.16675, 14.1186, 13.9156, 0, 0, 0, 0, 157172702, 0.851499, 1555936, 0, 93857
50000,0,true,WAIT_DIE,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.9, 698974, 0, 0, 42270,0,0,0,0, 54655, 0, 86.5908,292872, 19.5927, 1.83155, 0, 0, 0, 2.23155, 14.1303, 54.206, 0, 0, 0, 0, 155905453, 4.76736, 1585000, 0, 381264
50000,0,true,WAIT_DIE,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.99, 1340802, 0, 0, 55369,0,0,0,0, 84097, 0, 133.543,190335, 45.5816, 2.23196, 0, 0, 0, 1.65338, 10.3577, 103.527, 0, 0, 0, 0, 120462548, 6.51958, 1588619, 0, 791058
50000,0,true,NO_WAIT,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.5, 916, 0, 0, 19116,0,0,0,0, 19124, 0, 29.4455,836649, 0.0109721, 1.0141, 0, 0, 0, 2.5165, 16.4918, 0.106161, 0, 0, 0, 0, 0, 0, 1539725, 0, 0
50000,0,true,NO_WAIT,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.6, 4759, 0, 0, 15739,0,0,0,0, 15770, 0, 23.7949,1.01457e+06, 0.0462313, 0.928676, 0, 0, 0, 1.79406, 12.8412, 0.403139, 0, 0, 0, 0, 0, 0, 1508856, 0, 0
50000,0,true,NO_WAIT,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.7, 40757, 0, 0, 21184,0,0,0,0, 21749, 0, 33.3526,735739, 0.863003, 1.12648, 0, 0, 0, 2.84628, 17.6488, 3.20675, 0, 0, 0, 0, 0, 0, 1533674, 0, 0
50000,0,true,NO_WAIT,false,false,true,false,WR,1,0,false,0,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,true,YCSB,false,0.8, 272759, 0, 0, 25717,0,0,0,0, 31980, 0, 49.956,500493, 9.76773, 1.34248, 0, 0, 0, 2.5256, 16.2311, 21.1486, 0, 0, 0, 0, 0, 0, 1562665, 0, 0
