ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,COMMUTATIVE_LATCH,COMMUTATIVE_OPS,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,LATCH,MAX_TXN_PER_PART,NUM_WH,PERC_PAYMENT,RETIRE_ON,THREAD_CNT,TPCC_USER_ABORT,UNSET_NUMA,WORKLOAD,WW_STARV_FREE,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,2,true,true,TPCC,false, 985, 0, 7018,0,0,0,0, 7018, 1.41185,282925, 0, 0.11748, 0, 0, 0, 0.1282, 0.3671, 0.00437817, 0, 0, 0, 0, 0, 0, 199724, 985, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,4,true,true,TPCC,false, 1910, 0, 7349,0,0,0,0, 7350, 2.80407,540226, 9.1996e-05, 0.223949, 0, 0, 0, 0.357143, 0.702886, 0.00887547, 0, 0, 0, 0, 0, 0, 378708, 1905, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,8,true,true,TPCC,false, 3564, 0, 6965,0,0,0,0, 6965, 5.01952,1.14037e+06, 0.000279495, 0.428529, 0, 0, 0, 0.63573, 1.35975, 0.0174792, 0, 0, 0, 0, 0, 0, 715513, 3544, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,true,TPCC,false, 7019, 0, 8894,0,0,0,0, 8895, 12.3656,1.78608e+06, 0.00171093, 0.929571, 0, 0, 0, 1.6843, 4.16055, 0.0426986, 0, 0, 0, 0, 0, 0, 1380374, 6912, 0
50000,0,true,SILO,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,32,true,true,TPCC,false, 246335, 0, 14567,0,0,0,0, 17719, 47.5371,1.79845e+06, 8.41449, 2.42811, 0, 0, 0, 3.18718, 8.71056, 18.271, 0, 0, 0, 0, 0, 0, 2671655, 13676, 0
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,1,true,true,TPCC,false, 503, 0, 4981,0,0,0,0, 4981, 0.501976,199213, 0, 0.0586737, 0, 0, 0, 0.0601551, 0.269007, 0.00195204, 0, 0, 0, 0, 2177694, 0, 100000, 503, 0
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,2,true,true,TPCC,false, 1439, 0, 8452,0,0,0,0, 8460, 1.70078,235028, 0.00174845, 0.177666, 0, 0, 0, 0.143018, 0.68167, 0.0392008, 0, 0, 0, 0, 12966305, 0.480568, 199865, 995, 149602
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,4,true,true,TPCC,false, 6983, 0, 20031,0,0,0,0, 20167, 8.0812,197249, 0.0542747, 0.488438, 0, 0, 0, 0.325106, 1.90508, 0.393828, 0, 0, 0, 0, 41905539, 4.44807, 398503, 2026, 385812
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,8,true,true,TPCC,false, 14260, 0, 44567,0,0,0,0, 44986, 36.1129,176914, 0.337524, 1.14379, 0, 0, 0, 0.656075, 4.784, 0.811448, 0, 0, 0, 0, 93759686, 27.3839, 798609, 4032, 839705
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,16,true,true,TPCC,false, 24838, 0, 89616,0,0,0,0, 90442, 145.255,176023, 1.33053, 2.41694, 0, 0, 0, 1.22945, 10.2034, 1.34683, 0, 0, 0, 0, 187176930, 126.294, 1598009, 7936, 1688757
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,1,0.5,true,32,true,true,TPCC,false, 48306, 0, 188553,0,0,0,0, 190344, 611.43,167268, 5.77683, 5.44092, 0, 0, 0, 2.71746, 22.9093, 2.61787, 0, 0, 0, 0, 370894860, 566.352, 3196015, 15849, 3378413
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,1,true,true,TPCC,false, 468, 0, 5881,0,0,0,0, 5881, 0.59243,168796, 0, 0.0592452, 0, 0, 0, 0.070535, 0.324026, 0.00194853, 0, 0, 0, 0, 2179775, 0, 100000, 468, 0
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,2,true,true,TPCC,false, 972, 0, 6159,0,0,0,0, 6159, 1.18494,322162, 4.5261e-05, 0.119436, 0, 0, 0, 0.138725, 0.635512, 0.0041373, 0, 0, 0, 0, 13423018, 1.0682e-05, 190872, 967, 6
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,4,true,true,TPCC,false, 3189, 0, 10532,0,0,0,0, 10548, 3.95237,377032, 0.0056792, 0.380261, 0, 0, 0, 0.306441, 1.52002, 0.109437, 0, 0, 0, 0, 35293625, 1.12475, 372542, 1879, 275265
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,8,true,true,TPCC,false, 14807, 0, 24755,0,0,0,0, 24922, 19.8355,319283, 0.134172, 1.0225, 0, 0, 0, 0.772632, 4.70934, 0.866414, 0, 0, 0, 0, 91148561, 11.0209, 791642, 3933, 766964
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,16,true,true,TPCC,false, 31149, 0, 44344,0,0,0,0, 44857, 67.0393,354817, 0.768444, 1.97289, 0, 0, 0, 1.21885, 8.34062, 1.87056, 0, 0, 0, 0, 166043192, 50.5331, 1486667, 7443, 1563078
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,2,0.5,true,32,true,true,TPCC,false, 57831, 0, 98551,0,0,0,0, 99717, 311.51,319278, 3.66075, 4.74903, 0, 0, 0, 2.64395, 20.538, 3.46193, 0, 0, 0, 0, 352489848, 270.114, 3108074, 15474, 3287303
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,1,true,true,TPCC,false, 514, 0, 6584,0,0,0,0, 6584, 0.663203,150783, 0, 0.0709948, 0, 0, 0, 0.0746299, 0.335115, 0.00205833, 0, 0, 0, 0, 2301890, 0, 100000, 514, 0
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,2,true,true,TPCC,false, 1000, 0, 6142,0,0,0,0, 6142, 1.21743,323075, 1.4004e-05, 0.121181, 0, 0, 0, 0.140963, 0.60168, 0.00391092, 0, 0, 0, 0, 11179638, 2.7291e-05, 196661, 999, 6
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,4,true,true,TPCC,false, 1933, 0, 7497,0,0,0,0, 7497, 2.93404,529446, 5.9934e-05, 0.271376, 0, 0, 0, 0.337379, 1.53487, 0.00858896, 0, 0, 0, 0, 33487682, 7.9198e-05, 388354, 1927, 22
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,8,true,true,TPCC,false, 7138, 0, 12594,0,0,0,0, 12617, 9.55589,630353, 0.0174535, 0.828878, 0, 0, 0, 0.714578, 3.5331, 0.27886, 0, 0, 0, 0, 75253243, 2.71003, 752948, 3790, 553328
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,16,true,true,TPCC,false, 29030, 0, 25133,0,0,0,0, 25308, 38.4878,628728, 0.267115, 1.9557, 0, 0, 0, 1.5599, 8.63607, 1.69275, 0, 0, 0, 0, 149000358, 21.4535, 1512400, 7576, 1465757
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,4,0.5,true,32,true,true,TPCC,false, 67017, 0, 56989,0,0,0,0, 57638, 181.726,552300, 2.05626, 4.96972, 0, 0, 0, 3.50862, 21.2585, 4.11427, 0, 0, 0, 0, 382274501, 138.233, 3136474, 15753, 3299878
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,1,true,true,TPCC,false, 524, 0, 7173,0,0,0,0, 7173, 0.723186,138277, 0, 0.0627466, 0, 0, 0, 0.110007, 0.339031, 0.00199196, 0, 0, 0, 0, 2228207, 0, 100000, 524, 0
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,2,true,true,TPCC,false, 937, 0, 6913,0,0,0,0, 6913, 1.37537,287172, 0, 0.124916, 0, 0, 0, 0.164357, 0.679918, 0.00391999, 0, 0, 0, 0, 16092072, 4.591e-06, 197484, 937, 1
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,4,true,true,TPCC,false, 1856, 0, 7635,0,0,0,0, 7635, 2.82461,519850, 4.159e-05, 0.241361, 0, 0, 0, 0.313022, 1.45336, 0.00758661, 0, 0, 0, 0, 31869150, 1.8071e-05, 367093, 1853, 7
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,8,true,true,TPCC,false, 3751, 0, 7975,0,0,0,0, 7975, 6.04434,995637, 0.000155696, 0.55205, 0, 0, 0, 0.706359, 2.92954, 0.0181285, 0, 0, 0, 0, 64320177, 0.000131986, 752246, 3736, 32
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,16,true,true,TPCC,false, 13279, 0, 15274,0,0,0,0, 15300, 22.5443,1.03966e+06, 0.0373996, 1.7024, 0, 0, 0, 1.71801, 8.05568, 0.481898, 0, 0, 0, 0, 138520249, 6.76117, 1464899, 7512, 1094997
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,8,0.5,true,32,true,true,TPCC,false, 57954, 0, 30796,0,0,0,0, 31029, 89.3935,1.0258e+06, 0.674267, 4.13595, 0, 0, 0, 3.79846, 18.7391, 3.48288, 0, 0, 0, 0, 355229723, 50.7045, 2865628, 14338, 2776612
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,1,true,true,TPCC,false, 522, 0, 7237,0,0,0,0, 7237, 0.729464,137087, 0, 0.062153, 0, 0, 0, 0.106578, 0.302451, 0.00199369, 0, 0, 0, 0, 2242909, 0, 100000, 522, 0
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,2,true,true,TPCC,false, 986, 0, 7458,0,0,0,0, 7458, 1.43968,266030, 0, 0.125346, 0, 0, 0, 0.178142, 0.662247, 0.00394171, 0, 0, 0, 0, 13297540, 0, 191499, 986, 0
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,4,true,true,TPCC,false, 1656, 0, 11019,0,0,0,0, 11019, 3.67931,360246, 0, 0.263208, 0, 0, 0, 0.606289, 1.83188, 0.00768594, 0, 0, 0, 0, 34449636, 1.8771e-05, 331364, 1656, 3
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,8,true,true,TPCC,false, 3482, 0, 11545,0,0,0,0, 11545, 8.1701,687575, 3.7622e-05, 0.611779, 0, 0, 0, 1.22743, 4.14896, 0.0183238, 0, 0, 0, 0, 73469494, 0.000131903, 702195, 3480, 18
50000,0,true,WOUND_WAIT,false,false,false,false,true,true,LH_MCSLOCK,100000,16,0.5,true,16,true,true,TPCC,false, 7105, 0, 8589,0,0,0,0, 8589, 12.183,1.84844e+06, 0.000277423, 1.03599, 0, 0, 0, 1.86341, 5.60957, 0.0306753, 0, 0, 0, 0, 112147121, 0.00042167, 1407464, 7079, 95
