ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,0,true,BAMBOO,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 184486, 0, 29166,0,0,0,0, 32299, 50.4557,495387, 4.89208, 6.8389, 3.0276, 1.15636, 8.78794, 2.76455, 21.9338, 14.3371, 0.607184, 1.92086, 0.328375, 0.854648, 0, 0.0419015, 1562194, 0, 57553
50000,0,true,BAMBOO,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 295378, 0, 30335,0,0,0,0, 37331, 58.2839,428621, 10.9189, 5.72197, 2.02935, 1.16323, 8.74561, 2.48801, 20.726, 22.8535, 0.57661, 1.85181, 0.313828, 0.923777, 0, 0.0212087, 1561357, 0, 36648
50000,0,true,BAMBOO,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 947862, 0, 40979,0,0,0,0, 65500, 103.786,244298, 38.8476, 9.97484, 4.52565, 1.84151, 5.29496, 1.70126, 15.7879, 72.9964, 0.999582, 2.67891, 0.376716, 1.11336, 0, 0.0631102, 1584680, 0, 200157
50000,0,true,BAMBOO,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 1030667, 0, 42802,0,0,0,0, 74982, 113.048,213405, 48.5108, 11.5091, 5.88435, 1.81233, 5.63225, 1.58388, 16.8619, 79.4899, 1.02251, 2.85167, 0.387518, 1.2693, 0, 0.0721334, 1507813, 0, 178207
50000,0,true,WOUND_WAIT,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.3, 84, 0, 18933,0,0,0,0, 18933, 29.1438,845056, 0.000847691, 2.06793, 0, 0.240308, 10.6849, 2.16699, 16.7027, 0.0391079, 0.222428, 0.98835, 0, 0, 147568817, 0.0116503, 1539259, 0, 169
50000,0,true,WOUND_WAIT,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 273, 0, 20821,0,0,0,0, 20823, 32.2429,768353, 0.00321397, 2.21357, 0, 0.300287, 11.1762, 2.39053, 19.1977, 0.0636191, 0.240186, 1.02389, 0, 0, 168265444, 0.0587743, 1548369, 0, 626
50000,0,true,WOUND_WAIT,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 11289, 0, 22263,0,0,0,0, 22388, 34.061,714649, 0.190303, 2.39483, 0, 0.355263, 10.9807, 3.00713, 19.952, 0.916333, 0.288616, 1.13803, 0, 0, 197735592, 0.265366, 1521353, 0, 27870
50000,0,true,WOUND_WAIT,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 257422, 0, 41680,0,0,0,0, 48256, 74.6293,331578, 10.166, 3.34584, 0, 0.760615, 8.74163, 2.88551, 17.6879, 19.9015, 0.409221, 1.73174, 0, 0, 202311988, 22.0831, 1546588, 0, 1057454
50000,0,true,WOUND_WAIT,true,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 1310128, 0, 59918,0,0,0,0, 106458, 167.396,150306, 73.1722, 5.03787, 0, 1.52989, 6.70566, 1.88282, 12.9468, 100.911, 0.646031, 2.85176, 0, 0, 286925597, 26.4794, 1572546, 0, 3418262
50000,0,true,BAMBOO,true,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.5,16,true,WR,0,,false,10000000,16,YCSB,false,0.3, 0, 0, 22725,0,0,0,0, 22725, 34.9416,704043, 0, 2.32979, 0.0192336, 0.520094, 11.1876, 3.35846, 19.8416, 0.0338505, 0.294418, 1.14297, 0.22138, 0.587148, 0, 1.1625e-05, 1537524, 0, 10
