ABORT_PENALTY,BB_OPT_MAX_WAITER,BB_OPT_RAW,CC_ALG,DEBUG_ABORT_LENGTH,DEBUG_CS_PROFILING,DEBUG_PROFILING,DYNAMIC_TS,FIRST_HS,FIXED_HS,FLIP_RATIO,KEY_ORDER,LATCH,MAX_TXN_PER_PART,NUM_HS,POS_HS,READ_PERC,REQ_PER_QUERY,RETIRE_ON,SECOND_HS,SPECIFIED_RATIO,SPINLOCK,SYNTHETIC_YCSB,SYNTH_TABLE_SIZE,THREAD_CNT,WORKLOAD,WW_STARV_FREE,ZIPF_THETA,abort_cnt,abort_length,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_commit,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_ts_alloc,time_wait,txn_cnt,user_abort_cnt,wait_cnt
50000,12,true,WAIT_DIE,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 154, 0, 18026,0,0,0,0, 18027, 27.002,887542, 0.00114283, 1.0667, 0, 0, 0, 2.25009, 15.9077, 0.235495, 0, 0, 0, 0, 169573528, 0.000670143, 1497836, 0, 86
50000,12,true,WAIT_DIE,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 6601, 0, 17862,0,0,0,0, 17893, 27.2635,894187, 0.0473484, 1.1099, 0, 0, 0, 2.5734, 15.7613, 0.733659, 0, 0, 0, 0, 160712231, 0.0279998, 1523667, 0, 3285
50000,12,true,WAIT_DIE,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 231705, 0, 24103,0,0,0,0, 26209, 41.296,610495, 3.31634, 1.70813, 0, 0, 0, 2.0603, 12.757, 18.06, 0, 0, 0, 0, 137057811, 1.30461, 1575689, 0, 111142
50000,12,true,WAIT_DIE,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 810971, 0, 40773,0,0,0,0, 53705, 85.0787,297949, 20.4803, 2.78611, 0, 0, 0, 1.79341, 9.80547, 62.7284, 0, 0, 0, 0, 125008569, 4.36696, 1584319, 0, 417389
50000,12,true,NO_WAIT,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 238, 0, 20315,0,0,0,0, 20316, 31.4066,787521, 0.0025793, 1.19869, 0, 0, 0, 3.04793, 18.6034, 0.0586066, 0, 0, 0, 0, 0, 0, 1545834, 0, 0
50000,12,true,NO_WAIT,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 10216, 0, 16261,0,0,0,0, 16355, 24.9702,978280, 0.142584, 1.13091, 0, 0, 0, 2.30974, 13.9788, 0.831576, 0, 0, 0, 0, 0, 0, 1526739, 0, 0
50000,12,true,NO_WAIT,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 368693, 0, 23463,0,0,0,0, 33160, 52.2641,482549, 15.28, 1.82349, 0, 0, 0, 2.37691, 13.5907, 28.6019, 0, 0, 0, 0, 0, 0, 1576250, 0, 0
50000,12,true,NO_WAIT,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 1094615, 0, 29163,0,0,0,0, 64566, 100.86,247832, 55.2986, 2.50223, 0, 0, 0, 1.55707, 8.66364, 84.5314, 0, 0, 0, 0, 0, 0, 1562278, 0, 0
50000,12,true,WOUND_WAIT,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 68, 0, 17269,0,0,0,0, 17269, 25.5315,926473, 0.00079188, 1.08233, 0, 0, 0, 2.2967, 14.6172, 0.0396086, 0, 0, 0, 0, 170635337, 0.00622579, 1478392, 0, 149
50000,12,true,WOUND_WAIT,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.7, 2892, 0, 20319,0,0,0,0, 20347, 29.5066,786337, 0.0404259, 1.22967, 0, 0, 0, 3.23094, 17.5376, 0.263097, 0, 0, 0, 0, 206265054, 0.213773, 1450136, 0, 6741
50000,12,true,WOUND_WAIT,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.9, 88202, 0, 21747,0,0,0,0, 22977, 35.5355,696361, 1.90039, 2.26881, 0, 0, 0, 2.33489, 14.8944, 6.86525, 0, 0, 0, 0, 179466299, 4.41714, 1546595, 0, 376413
50000,12,true,WOUND_WAIT,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,1.1, 423627, 0, 36281,0,0,0,0, 46205, 72.1795,346301, 15.4987, 4.10305, 0, 0, 0, 1.99022, 12.6407, 32.6994, 0, 0, 0, 0, 180700530, 15.5321, 1562237, 0, 1596488
50000,0,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 0, 0, 19138,0,0,0,0, 19138, 29.3829,836009, 0, 1.53835, 0.0207499, 0, 0, 2.67243, 17.022, 0.0378497, 0, 0, 0, 0, 0, 1.175e-06, 1535271, 0, 2
50000,0,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 49, 0, 20093,0,0,0,0, 20093, 30.6775,796262, 0.000636268, 1.61576, 0.020653, 0, 0, 3.10859, 18.092, 0.0419711, 0, 0, 0, 0, 0, 2.6368e-05, 1526707, 0, 10
50000,4,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 0, 0, 17828,0,0,0,0, 17828, 27.1822,897435, 0, 1.47013, 0.0198905, 0, 0, 2.54193, 15.7353, 0.0352127, 0, 0, 0, 0, 0, 2.8912e-05, 1524642, 0, 15
50000,4,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 39, 0, 20809,0,0,0,0, 20809, 32.2179,768883, 0.000592266, 1.64123, 0.0206115, 0, 0, 2.68168, 19.7454, 0.0413831, 0, 0, 0, 0, 0, 2.824e-06, 1548239, 0, 4
50000,8,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 0, 0, 19990,0,0,0,0, 19990, 31.3756,800363, 0, 1.58413, 0.0203411, 0, 0, 2.41147, 19.1313, 0.0366734, 0, 0, 0, 0, 0, 1.0935e-05, 1569490, 0, 8
50000,8,true,BAMBOO,false,false,true,false,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 35, 0, 18627,0,0,0,0, 18628, 28.6371,858911, 0.000453314, 1.53803, 0.0282605, 0, 0, 2.80888, 16.496, 0.0393746, 0, 0, 0, 0, 0, 5.654e-06, 1537295, 0, 4
50000,12,true,BAMBOO,false,false,true,true,WR,1,0,false,LH_MCSLOCK,100000,0,TOP,0.9,16,true,WR,0,,false,10000000,16,YCSB,false,0.5, 0, 0, 20063,0,0,0,0, 20063, 31.1377,797477, 0, 1.60605, 0.0202825, 0, 0, 3.23032, 18.0742, 0.0533055, 0, 0, 0, 0, 0, 9.143e-06, 1551975, 0, 8
