ABORT_PENALTY,CC_ALG,DEBUG_PROFILING,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,pf,100000,8,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,4.075417,361370.614007,0.000000,0.197758,0.440975,2.042225,0.010401,0.000000,0.000050,368184
1,CLV,pf,100000,8,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.980633,196117.138356,0.000000,0.100759,0.234691,1.029935,0.005395,0.000000,0.000012,194218
1,CLV,pf,100000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.859945,116286.472618,0.000000,0.035083,0.117692,0.295813,0.002568,0.000000,0.000000,100000
1,CLV,pf,100000,4,true,16,TPCC,31161,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000027,40.889293,598618.129938,0.359643,15.991676,1.160522,27.691412,0.051126,0.000000,0.242846,1529817
1,CLV,pf,100000,4,true,8,TPCC,5755,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,13.188446,457010.319593,0.040301,3.464851,0.539841,8.102739,0.025208,0.000000,0.028691,753407
1,CLV,pf,100000,4,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,3.801865,403205.228692,0.000000,0.212687,0.390268,1.963345,0.010663,0.000000,0.000161,383233
1,CLV,pf,100000,4,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.728680,228369.619894,0.000000,0.095702,0.178862,0.879168,0.005288,0.000000,0.000005,197389
1,CLV,pf,100000,4,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.732150,136583.978853,0.000000,0.034737,0.098997,0.249488,0.002529,0.000000,0.000000,100000
1,CLV,pf,100000,2,true,16,TPCC,84825,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,50.749215,499049.457801,1.502786,24.254975,1.015739,36.709743,0.055034,0.000000,1.153152,1582898
1,CLV,pf,100000,2,true,8,TPCC,14677,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000024,17.677982,338967.642156,0.148926,6.829574,0.457569,12.189083,0.026781,0.000000,0.116230,749033
1,CLV,pf,100000,2,true,4,TPCC,2497,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,6.239977,252178.478088,0.017152,1.650748,0.252691,3.870279,0.012129,0.000000,0.012701,393397
1,CLV,pf,100000,2,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.777761,217642.345134,0.000000,0.096660,0.172032,0.952885,0.005359,0.000000,0.000098,193458
1,CLV,pf,100000,2,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.723668,138184.922690,0.000000,0.036231,0.087521,0.258015,0.002797,0.000000,0.000000,100000
1,CLV,pf,100000,1,true,16,TPCC,190377,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000070,111.422372,229056.907100,7.360009,57.771736,0.942512,74.142708,0.060400,0.000000,15.679575,1595129
1,CLV,pf,100000,1,true,8,TPCC,41358,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,25.568055,249519.176525,0.780667,11.946741,0.404190,18.220347,0.031300,0.000000,0.650870,797465
1,CLV,pf,100000,1,true,4,TPCC,6164,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,8.246842,191860.604033,0.063708,3.245305,0.210143,5.665900,0.012552,0.000000,0.059079,395561
1,CLV,pf,100000,1,true,2,TPCC,1069,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,2.971018,133888.769180,0.007517,0.794473,0.097328,1.882289,0.005864,0.000000,0.004651,198893
1,CLV,pf,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.571956,174838.622727,0.000000,0.034183,0.066340,0.188189,0.002611,0.000000,0.000000,100000
1,CLV,pf,100000,16,true,16,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,23.067385,964011.841527,0.000000,1.027673,3.863088,11.506956,0.048787,0.000000,0.001027,1389827
1,CLV,pf,100000,16,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,10.766875,541151.644718,0.000000,0.448146,1.949280,5.316788,0.023309,0.000000,0.000306,728314
1,CLV,pf,100000,16,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,4.301971,331624.762563,0.000000,0.199636,0.703161,2.181357,0.010644,0.000000,0.000064,356660
1,CLV,pf,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,2.196698,174175.995975,0.000000,0.093967,0.370799,1.021548,0.005158,0.000000,0.000041,191306
1,CLV,pf,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,0.953911,104831.624581,0.000000,0.034813,0.173117,0.266596,0.002578,0.000000,0.000000,100000
1,CLV,pf,100000,8,true,16,TPCC,11712,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,31.000556,758328.068904,0.098097,8.190771,1.525435,19.170774,0.050687,0.000000,0.060874,1469287
1,CLV,pf,100000,8,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,7.820023,765175.203169,0.000000,0.415330,0.845292,3.698440,0.020693,0.000000,0.000367,747961
1,CLV,pf,100000,8,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,3.837413,399837.118167,0.000000,0.195780,0.381034,1.891458,0.010572,0.000000,0.000112,383585
1,CLV,pf,100000,8,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,1.730806,219865.242500,0.000000,0.092518,0.172154,0.820276,0.005053,0.000000,0.000000,190272
