ABORT_PENALTY,CC_ALG,MAX_TXN_PER_PART,NUM_WH,SPINLOCK,THREAD_CNT,WORKLOAD,abort_cnt,cycle_detect,deadlock_cnt,debug1,debug2,debug3,debug4,debug5,dl_detect_time,dl_wait_time,latency,run_time,throughput,time_abort,time_cleanup,time_index,time_man,time_query,time_ts_alloc,time_wait,txn_cnt
1,CLV,100000,1,true,8,TPCC,41028,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,24.172285,262406.308008,0.728485,11.338506,0.394585,17.219824,0.030444,0.000000,0.613196,792870
1,CLV,100000,1,true,4,TPCC,6753,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000022,8.939494,178151.032591,0.071480,3.479500,0.221885,6.100478,0.013817,0.000000,0.077438,398145
1,CLV,100000,1,true,2,TPCC,1039,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,3.007237,131882.518905,0.007641,0.813724,0.099744,1.912649,0.005960,0.000000,0.004710,198301
1,CLV,100000,1,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,0.558394,179085.167633,0.000000,0.033836,0.065590,0.183735,0.002527,0.000000,0.000000,100000
1,CLV,1000,16,true,16,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000144,1.378380,111458.357976,0.000000,0.018778,0.392341,0.862320,0.000956,0.000000,0.000000,9602
1,CLV,1000,16,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000103,0.643958,77856.005374,0.000000,0.007361,0.224631,0.361807,0.000482,0.000000,0.000000,6267
1,CLV,1000,16,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000095,0.289925,42286.741135,0.000000,0.002829,0.096779,0.160573,0.000157,0.000000,0.000000,3065
1,CLV,1000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000093,0.160739,21587.803207,0.000000,0.001276,0.054692,0.082877,0.000061,0.000000,0.000000,1735
1,CLV,1000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000064,0.063670,15706.024435,0.000000,0.000580,0.027168,0.023422,0.000043,0.000000,0.000000,1000
1,CLV,100000,16,true,16,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,20.885708,1047201.090062,0.000000,0.992010,3.339979,10.576550,0.045191,0.000000,0.001361,1366971
1,CLV,100000,16,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,9.142431,616722.601977,0.000000,0.409776,1.440909,4.320963,0.021060,0.000000,0.000315,704793
1,CLV,100000,16,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000013,4.477690,318388.252491,0.000000,0.201670,0.790614,2.219044,0.010737,0.000000,0.000048,356411
1,CLV,100000,16,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,2.236858,170621.471462,0.000000,0.098205,0.394487,1.051592,0.005373,0.000000,0.000012,190828
1,CLV,100000,16,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,1.086610,92029.327435,0.000000,0.036653,0.260356,0.312263,0.002755,0.000000,0.000000,100000
1,CLV,1000,8,true,16,TPCC,143,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000049,0.638142,328252.903819,0.004129,0.150473,0.058660,0.403763,0.000994,0.000000,0.002594,13092
1,CLV,1000,8,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000027,0.185105,295745.421408,0.000000,0.006345,0.025037,0.106670,0.000336,0.000000,0.000029,6843
1,CLV,1000,8,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.224378,65389.585015,0.000000,0.003421,0.047538,0.137749,0.000179,0.000000,0.000001,3668
1,CLV,1000,8,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000028,0.054783,70422.776880,0.000000,0.001469,0.010048,0.030681,0.000078,0.000000,0.000000,1929
1,CLV,1000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,0.016534,60482.924703,0.000000,0.000602,0.001998,0.006120,0.000043,0.000000,0.000000,1000
1,CLV,100000,8,true,16,TPCC,12043,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000021,31.049406,780234.702093,0.083707,8.225122,2.229604,19.248532,0.051388,0.000000,0.057620,1514114
1,CLV,100000,8,true,8,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,9.351797,648766.039962,0.000000,0.450420,1.088182,4.762214,0.022490,0.000000,0.000344,758391
1,CLV,100000,8,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,3.514261,403188.081818,0.000000,0.181737,0.383587,1.749856,0.009624,0.000000,0.000037,354227
1,CLV,100000,8,true,2,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000010,1.975393,195121.668127,0.000000,0.097676,0.231801,1.019503,0.005299,0.000000,0.000042,192721
1,CLV,100000,8,true,1,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.852298,117329.856315,0.000000,0.035468,0.118464,0.286938,0.002768,0.000000,0.000000,100000
1,CLV,1000,4,true,16,TPCC,609,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.770193,261565.598072,0.021137,0.341701,0.031627,0.565084,0.000839,0.000000,0.004092,12591
1,CLV,1000,4,true,8,TPCC,77,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000028,0.202394,290403.377881,0.001079,0.048215,0.011599,0.122020,0.000412,0.000000,0.000631,7347
1,CLV,1000,4,true,4,TPCC,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000094,0.277693,42449.793576,0.000000,0.003027,0.048657,0.177222,0.000140,0.000000,0.000000,2947
