IC3_EAGER_EXEC,cycle_detect,cascading_abort_times,IC3_FIELD_LOCKING,time_abort,time_get_cs,MAX_TXN_PER_PART,DEBUG_CS_PROFILING,user_abort_cnt,PERC_PAYMENT,max_abort_length,time_index,BB_OPT_MAX_WAITER,LATCH,ABORT_PENALTY,CC_ALG,NUM_WH,latency,time_cleanup,WORKLOAD,txn_cnt,time_man,WW_STARV_FREE,time_wait,IC3_MODIFIED_TPCC,dl_detect_time,COMMUTATIVE_OPS,DEBUG_PROFILING,IC3_RENDEZVOUS,TPCC_USER_ABORT,THREAD_CNT,BB_OPT_RAW,dl_wait_time,time_release_cs,time_get_latch,run_time,deadlock_cnt,time_release_latch,time_query,wait_cnt,time_retire_latch,commit_latency,abort_cnt,time_commit,abort_length,RETIRE_ON,DYNAMIC_TS,throughput,time_retire_cs,time_ts_alloc
false,0, 0,false, 0.437106, 0,100000,false, 3841,0.5, 0, 0.32962,0,LH_MCSLOCK,50000,IC3,2, 22508, 0.82407,TPCC, 764367, -7.44686,false, 9.40523,true,0,false,true,false,true,8,true,0, 0, 0, 17.2653,0, 0, 0.195899, 0, 0, 22460, 5947, 0.0443644, 0,true,true,354175, 0, 0
true,0, 0,false, 0.165688, 0,100000,false, 3289,0.5, 0, 0.146204,0,LH_MCSLOCK,50000,IC3,4, 9962, 0.598218,TPCC, 666349, -0.245858,false, 1.37494,true,0,false,true,true,true,8,true,0, 0, 0, 6.65738,0, 0, 0.0621718, 0, 0, 9955, 3922, 0.0305547, 0,true,true,800735, 0, 0
false,0, 0,false, 0.117441, 0,100000,false, 3810,0.5, 0, 0.200824,0,LH_MCSLOCK,50000,IC3,4, 10379, 0.597866,TPCC, 742444, -1.0012,false, 2.15264,true,0,false,true,false,true,8,true,0, 0, 0, 7.72892,0, 0, 0.082246, 0, 0, 10374, 4212, 0.0198097, 0,true,true,768484, 0, 0
true,0, 0,false, 0.0191225, 0,100000,false, 3678,0.5, 0, 0.27292,0,LH_MCSLOCK,50000,IC3,8, 7567, 0.427435,TPCC, 719560, 0.96539,false, 0.0495175,true,0,false,true,true,true,8,true,0, 0, 0, 5.46238,0, 0, 0.0137531, 0, 0, 7567, 3678, 0.00602642, 0,true,true,1.05384e+06, 0, 0
false,0, 0,false, 0.0194848, 0,100000,false, 3626,0.5, 0, 0.298299,0,LH_MCSLOCK,50000,IC3,8, 8001, 0.431125,TPCC, 707278, 1.09602,false, 0.030872,true,0,false,true,false,true,8,true,0, 0, 0, 5.67699,0, 0, 0.014037, 0, 0, 8001, 3626, 0.00563237, 0,true,true,996694, 0, 0
true,0, 0,false, 0.0190128, 0,100000,false, 3362,0.5, 0, 0.667897,0,LH_MCSLOCK,50000,IC3,16, 9805, 0.45062,TPCC, 670013, 1.54001,false, 0.0484362,true,0,false,true,true,true,8,true,0, 0, 0, 6.58687,0, 0, 0.0137542, 0, 0, 9805, 3362, 0.00574394, 0,true,true,813755, 0, 0
false,0, 0,false, 0.0210966, 0,100000,false, 3487,0.5, 0, 0.613248,0,LH_MCSLOCK,50000,IC3,16, 9678, 0.464225,TPCC, 685759, 1.59736,false, 0.0315616,true,0,false,true,false,true,8,true,0, 0, 0, 6.65563,0, 0, 0.0148825, 0, 0, 9678, 3487, 0.00566202, 0,true,true,824276, 0, 0
true,0, 0,false, 63.1525, 0,100000,false, 7964,0.5, 0, 0.58136,0,LH_MCSLOCK,50000,IC3,1, 68238, 2.75127,TPCC, 1595123, -81.9328,false, 86.5645,true,0,false,true,true,true,16,true,0, 0, 0, 109.324,0, 0, 3.64808, 0, 0, 66931, 54426, 0.597808, 0,true,true,233453, 0, 0
false,0, 0,false, 4.62707, 0,100000,false, 8058,0.5, 0, 0.652626,0,LH_MCSLOCK,50000,IC3,1, 78990, 1.93437,TPCC, 1593314, -103.193,false, 107.103,true,0,false,true,false,true,16,true,0, 0, 0, 126.431,0, 0, 2.07287, 0, 0, 78164, 34180, 0.0969477, 0,true,true,201635, 0, 0
true,0, 0,false, 14.994, 0,100000,false, 7991,0.5, 0, 0.605054,0,LH_MCSLOCK,50000,IC3,2, 36761, 2.62153,TPCC, 1581110, -33.2489,false, 38.0888,true,0,false,true,true,true,16,true,0, 0, 0, 58.3634,0, 0, 1.88571, 0, 0, 36391, 31815, 0.600343, 0,true,true,433453, 0, 0
